set,mse,rmse,mae,mape,r2
train,0.6911104307767989,0.8313305183720846,0.48713518870693867,304.560522722895,0.3080189530284807
validation,0.2826898429761489,0.5316858498927246,0.34796855976053537,170.8156774530677,0.3804833909736222
test,0.40944709493817727,0.639880531769937,0.43734766449022006,209.81060167550808,0.2801970244336223
