,number,value,datetime_start,datetime_complete,duration,params_d_ff,params_d_model,params_decomp_method,params_down_sampling_layers,params_down_sampling_window,params_dropout,params_e_layers,params_learning_rate,params_moving_avg,params_top_k,user_attrs_pruned,user_attrs_training_time,state
0,0,0.33278928881107234,2025-01-31 15:30:20.082736,2025-01-31 16:31:13.447771,0 days 01:00:53.365035,80,64,1,1,3,0.1,3,0.00016060097801719306,3,3,,3641.9315552711487,COMPLETE
1,1,0.5259864163176372,2025-01-31 15:30:20.084014,2025-01-31 16:12:46.720967,0 days 00:42:26.636953,112,16,0,1,4,0.2,1,0.003651953153961708,1,5,,2540.4235866069794,COMPLETE
2,2,0.3470209300475267,2025-01-31 16:12:46.721869,2025-01-31 18:12:23.908558,0 days 01:59:37.186689,96,16,0,1,3,0.5,1,0.00013579033606785022,11,3,,7169.368025779724,COMPLETE
3,3,0.33575821053757665,2025-01-31 16:31:13.448578,2025-01-31 17:16:49.716512,0 days 00:45:36.267934,32,32,1,1,4,0.0,2,0.0008971113712701732,19,4,,2723.7351891994476,COMPLETE
4,4,0.33757143042514554,2025-01-31 17:16:49.717369,2025-01-31 20:41:09.096263,0 days 03:24:19.378894,32,16,1,2,4,0.0,1,0.0001041488418862823,3,5,,12249.039678573608,COMPLETE
5,5,0.34901700998653257,2025-01-31 18:12:23.909338,2025-01-31 19:26:34.220630,0 days 01:14:10.311292,64,48,0,1,2,0.0,3,0.001488934255237555,9,5,,4437.215889215469,COMPLETE
6,6,,2025-01-31 19:26:34.221425,2025-01-31 19:27:27.544380,0 days 00:00:53.322955,112,32,0,2,4,0.5,3,0.007519223428926385,3,1,Exception: RuntimeError('Loss exploded to 28986444.0 > 100000.0.'),,PRUNED
7,7,,2025-01-31 19:27:27.544997,2025-01-31 19:31:55.649537,0 days 00:04:28.104540,112,64,0,2,3,0.4,2,0.00462881577165187,5,2,Exception: RuntimeError('Loss exploded to 145403.1875 > 100000.0.'),,PRUNED
8,8,0.35112418559709324,2025-01-31 19:31:55.650102,2025-01-31 20:19:50.713560,0 days 00:47:55.063458,112,64,1,1,2,0.4,2,0.0004839548060480492,25,4,,2866.4082460403442,COMPLETE
9,9,0.3362892724589493,2025-01-31 20:19:50.714187,2025-01-31 21:40:18.182803,0 days 01:20:27.468616,80,64,1,1,4,0.2,3,0.00013111863210224078,15,2,,4816.568525314331,COMPLETE
10,10,0.45749158278477303,2025-01-31 20:41:09.096919,2025-01-31 22:38:38.832692,0 days 01:57:29.735773,80,64,1,2,4,0.1,2,0.00010743336072594343,1,4,,7035.266114473343,COMPLETE
11,11,0.33425791961956114,2025-01-31 21:40:18.183495,2025-01-31 23:19:43.701594,0 days 01:39:25.518099,16,48,1,1,2,0.0,2,0.00015258424033147888,11,4,,5956.712717533112,COMPLETE
12,12,0.3486085667786498,2025-01-31 22:38:38.833283,2025-01-31 23:14:06.097458,0 days 00:35:27.264175,32,32,1,1,4,0.0,1,0.0017547919844444202,17,5,,2118.1714975833893,COMPLETE
13,13,0.33642530278208027,2025-01-31 23:14:06.098276,2025-02-01 00:23:46.193189,0 days 01:09:40.094913,32,16,1,1,3,0.0,3,0.0008614337199648509,21,5,,4167.517921924591,COMPLETE
14,14,0.33405393137468575,2025-01-31 23:19:43.702166,2025-02-01 00:36:16.645492,0 days 01:16:32.943326,48,32,1,1,2,0.0,2,0.00017503385219303107,11,4,,4584.49840593338,COMPLETE
15,15,0.33534119343336233,2025-02-01 00:23:46.193809,2025-02-01 01:51:43.055725,0 days 01:27:56.861916,16,32,1,1,2,0.0,2,0.00017826368469713196,9,2,,5267.903367757797,COMPLETE
16,16,0.33252722965794607,2025-02-01 00:36:16.646071,2025-02-01 02:24:04.244149,0 days 01:47:47.598078,80,32,1,1,3,0.0,3,0.00010690939713378738,9,4,,6455.699277639389,COMPLETE
17,17,0.3474388896393246,2025-02-01 01:51:43.056364,2025-02-01 02:45:20.694263,0 days 00:53:37.637899,128,48,1,1,3,0.1,3,0.00048267852097920645,7,4,,3202.2754905223846,COMPLETE
18,18,0.35167459333607615,2025-02-01 02:24:04.244932,2025-02-01 03:32:51.414995,0 days 01:08:47.170063,96,48,1,1,2,0.0,3,0.00018822473034417708,7,1,,4116.281120061874,COMPLETE
