,number,value,datetime_start,datetime_complete,duration,params_d_ff,params_d_model,params_decomp_method,params_down_sampling_layers,params_down_sampling_window,params_dropout,params_e_layers,params_learning_rate,params_moving_avg,params_top_k,user_attrs_pruned,user_attrs_training_time,state
19,19,0.3307238865773615,2025-02-01 02:45:20.694903,2025-02-01 06:33:17.864899,0 days 03:47:57.169996,96,16,1,2,4,0.0,2,0.00011096037902892616,3,3,,13664.580452919006,COMPLETE
20,20,0.45234384713222514,2025-02-01 03:32:51.415568,2025-02-01 04:09:19.837971,0 days 00:36:28.422403,112,16,0,1,3,0.2,3,0.00027939070738242176,1,4,,2178.5708639621735,COMPLETE
21,21,0.35145172957802373,2025-02-01 04:09:19.838630,2025-02-01 05:56:20.192558,0 days 01:47:00.353928,96,48,1,1,3,0.0,3,0.0001033669631502063,13,4,,6408.376647472382,COMPLETE
22,22,0.3398206367655296,2025-02-01 05:56:20.193245,2025-02-01 07:33:17.413926,0 days 01:36:57.220681,64,16,1,2,2,0.2,3,0.00027668634671620495,9,3,,5799.904205083847,COMPLETE
23,23,0.3315964434866554,2025-02-01 06:33:17.865484,2025-02-01 08:45:13.796634,0 days 02:11:55.931150,96,16,1,2,4,0.0,3,0.00014697214853005047,3,3,,7896.463255882263,COMPLETE
24,24,0.33199125437456645,2025-02-01 07:33:17.414585,2025-02-01 10:15:31.685448,0 days 02:42:14.270863,80,16,1,2,4,0.1,2,0.00016828509155371218,3,3,,9717.28432893753,COMPLETE
25,25,0.3370677963416629,2025-02-01 08:45:13.797427,2025-02-01 10:30:51.402083,0 days 01:45:37.604656,112,16,1,2,4,0.1,3,0.0005205527309334209,3,2,,6319.837286233902,COMPLETE
26,26,0.33062653503871114,2025-02-01 10:15:31.686250,2025-02-01 12:25:00.097296,0 days 02:09:28.411046,96,16,1,2,4,0.0,3,0.0003225861336382305,3,2,,7750.38156080246,COMPLETE
27,27,0.3305073670526862,2025-02-01 10:30:51.402742,2025-02-01 14:23:26.753370,0 days 03:52:35.350628,80,16,1,2,4,0.1,3,0.00012478917961510785,3,4,,13935.366538763046,COMPLETE
28,28,0.33420713551666115,2025-02-01 12:25:00.097992,2025-02-01 15:06:00.682401,0 days 02:41:00.584409,128,16,1,2,4,0.0,3,0.00015175176078884017,3,3,,9645.293140649796,COMPLETE
29,29,0.331427047518229,2025-02-01 14:23:26.754055,2025-02-01 17:14:29.678216,0 days 02:51:02.924161,112,16,1,2,4,0.2,3,0.00019235831822606974,3,5,,10244.420715093613,COMPLETE
30,30,0.3329913439937913,2025-02-01 15:06:00.683037,2025-02-01 17:03:38.234838,0 days 01:57:37.551801,96,16,1,2,3,0.1,3,0.00022343233920046887,5,5,,7042.062653541565,COMPLETE
31,31,0.33023295667601854,2025-02-01 17:03:38.235445,2025-02-01 18:57:13.367995,0 days 01:53:35.132550,48,16,1,2,4,0.1,3,0.00034994228912292076,3,1,,6797.804203271866,COMPLETE
32,32,0.33419427360182885,2025-02-01 17:14:29.678872,2025-02-01 19:31:15.973141,0 days 02:16:46.294269,80,16,0,2,4,0.1,3,0.00010869802410376133,3,5,,8189.136142492294,COMPLETE
33,33,0.330958015540713,2025-02-01 18:57:13.368657,2025-02-01 22:47:00.955278,0 days 03:49:47.586621,32,16,1,2,4,0.1,3,0.00018272721034724812,3,1,,13769.96806526184,COMPLETE
34,34,0.3333277391479855,2025-02-01 19:31:15.973756,2025-02-01 22:19:28.890238,0 days 02:48:12.916482,16,16,1,2,4,0.1,3,0.00022747872664265035,3,2,,10069.700681209564,COMPLETE
35,35,0.45981210427873515,2025-02-01 22:19:28.891026,2025-02-02 00:11:51.366740,0 days 01:52:22.475714,48,16,1,1,4,0.1,2,0.00043013268204537694,1,1,,6734.105682611465,COMPLETE
36,36,0.3403230688976468,2025-02-01 22:47:00.955907,2025-02-02 01:10:21.775877,0 days 02:23:20.819970,80,16,1,2,3,0.0,3,0.0002914340945728721,5,1,,8584.211625099182,COMPLETE
37,37,0.33359336055420935,2025-02-02 00:11:51.367391,2025-02-02 02:19:05.492669,0 days 02:07:14.125278,96,16,1,2,4,0.0,1,0.0001054472352233238,3,2,,7623.475130558014,COMPLETE
38,38,0.33192249367824866,2025-02-02 01:10:21.776660,2025-02-02 03:20:51.067137,0 days 02:10:29.290477,96,32,1,2,4,0.0,1,0.0002632304754869747,3,4,,7817.557337522507,COMPLETE
39,39,0.3290366111642511,2025-02-02 02:19:05.493318,2025-02-02 06:00:55.638879,0 days 03:41:50.145561,64,32,1,2,4,0.30000000000000004,3,0.0001498689849060786,3,3,,13294.04686665535,COMPLETE
40,40,0.33508195276407693,2025-02-02 03:20:51.067949,2025-02-02 05:21:23.178863,0 days 02:00:32.110914,80,32,1,2,4,0.2,3,0.0005006961031387875,3,1,,7214.443905591965,COMPLETE
41,41,0.33720119133154247,2025-02-02 05:21:23.179564,2025-02-02 07:45:23.827668,0 days 02:24:00.648104,48,16,1,2,4,0.1,3,0.00032912425999813937,3,4,,8619.657923460007,COMPLETE
42,42,0.3432976560256564,2025-02-02 06:00:55.639661,2025-02-02 08:30:55.897694,0 days 02:30:00.258033,80,32,1,2,4,0.4,3,0.00017775916830121968,3,3,,8981.706572294235,COMPLETE
43,43,0.3662977599329154,2025-02-02 07:45:23.828553,2025-02-02 09:24:06.253968,0 days 01:38:42.425415,80,16,1,2,4,0.4,3,0.00010009211597827652,3,3,,5901.968503475189,COMPLETE
44,44,0.3449943345349462,2025-02-02 08:30:55.898333,2025-02-02 11:00:56.334680,0 days 02:30:00.436347,32,16,1,2,3,0.4,2,0.00023250675791189413,5,4,,8987.501272439957,COMPLETE
45,45,0.3437295804988392,2025-02-02 09:24:06.254652,2025-02-02 10:57:02.296051,0 days 01:32:56.041399,32,32,1,2,4,0.0,3,0.0022223587365394534,3,1,,5558.361115455627,COMPLETE
46,46,0.3377769508992934,2025-02-02 10:57:02.296700,2025-02-02 12:54:57.943427,0 days 01:57:55.646727,48,48,1,2,3,0.30000000000000004,3,0.00013720136476944419,5,4,,7056.957949638367,COMPLETE
47,47,0.3346901489805367,2025-02-02 11:00:56.335282,2025-02-02 13:28:47.140077,0 days 02:27:50.804795,32,48,1,2,4,0.30000000000000004,3,0.0001839347803173395,3,3,,8853.786434412003,COMPLETE
48,48,0.45533643660039136,2025-02-02 12:54:57.944236,2025-02-02 13:42:30.942688,0 days 00:47:32.998452,96,32,0,1,4,0.0,2,0.00011293607330454507,1,3,,2844.8133828639984,COMPLETE
49,49,0.45161348833380544,2025-02-02 13:28:47.140915,2025-02-02 14:41:59.650595,0 days 01:13:12.509680,112,48,1,2,4,0.0,2,0.0002684351322728545,1,2,,4378.8581619262695,COMPLETE
50,50,0.34171923127825865,2025-02-02 13:42:30.943338,2025-02-02 14:52:14.083957,0 days 01:09:43.140619,64,48,0,2,2,0.5,3,0.00017522217056891785,7,1,,4167.519271612167,COMPLETE
51,51,0.32872958594162394,2025-02-02 14:41:59.651213,2025-02-02 18:07:08.313351,0 days 03:25:08.662138,80,16,1,2,4,0.1,3,0.00011213892034224343,3,4,,12289.934997081757,COMPLETE
52,52,0.3334301512927125,2025-02-02 14:52:14.084620,2025-02-02 16:26:20.194737,0 days 01:34:06.110117,32,16,1,2,4,0.2,3,0.0006491933517991762,3,1,,5630.804472923279,COMPLETE
53,53,0.3335522040782033,2025-02-02 16:26:20.195428,2025-02-02 18:23:06.754765,0 days 01:56:46.559337,64,32,1,2,4,0.0,3,0.00028313146517293874,3,2,,6987.861402511597,COMPLETE
54,54,0.33233587817095667,2025-02-02 18:07:08.313982,2025-02-02 20:13:11.496187,0 days 02:06:03.182205,80,32,1,2,4,0.2,3,0.0002122726729674456,3,4,,7544.011630535126,COMPLETE
55,55,0.3361073400805931,2025-02-02 18:23:06.755415,2025-02-02 21:13:03.144747,0 days 02:49:56.389332,80,16,1,1,4,0.1,2,0.0001341556540943653,7,5,,10188.139831542969,COMPLETE
56,56,0.33404756602428193,2025-02-02 20:13:11.496778,2025-02-02 23:25:00.109209,0 days 03:11:48.612431,80,16,1,2,4,0.1,3,0.00010144986241136857,3,4,,11492.29609966278,COMPLETE
57,57,0.3305549328074322,2025-02-02 21:13:03.145458,2025-02-03 00:39:09.289039,0 days 03:26:06.143581,80,16,1,2,4,0.0,3,0.00011996584568938146,3,4,,12346.544425725937,COMPLETE
58,58,,2025-02-02 23:25:00.109913,2025-02-02 23:26:25.754466,0 days 00:01:25.644553,32,48,0,1,3,0.30000000000000004,3,0.007441249090494802,21,2,Exception: RuntimeError('Loss exploded to 776181.125 > 100000.0.'),,PRUNED
59,59,0.33202610418358885,2025-02-02 23:26:25.755027,2025-02-03 00:45:54.958345,0 days 01:19:29.203318,96,16,1,2,4,0.0,2,0.0004937957828819308,3,2,,4756.626371383667,COMPLETE
60,60,0.3285696895129482,2025-02-03 00:39:09.289740,2025-02-03 04:23:45.307413,0 days 03:44:36.017673,64,16,1,2,4,0.0,3,0.00013958670804904488,3,4,,13457.808342695236,COMPLETE
61,61,0.3298478672763223,2025-02-03 00:45:54.958973,2025-02-03 02:48:05.149245,0 days 02:02:10.190272,16,64,0,2,2,0.5,1,0.00015503601264917603,7,5,,7321.063948869705,COMPLETE
62,62,0.3345492935143315,2025-02-03 02:48:05.149904,2025-02-03 05:36:24.286602,0 days 02:48:19.136698,32,64,0,2,2,0.5,1,0.0001011051548288523,9,4,,10089.650800228119,COMPLETE
63,63,0.3317621326280537,2025-02-03 04:23:45.308130,2025-02-03 05:23:58.076629,0 days 01:00:12.768499,16,64,0,2,2,0.4,1,0.0002551496474332399,9,5,,3602.9682133197784,COMPLETE
64,64,0.3293699826336404,2025-02-03 05:23:58.077234,2025-02-03 09:09:19.878333,0 days 03:45:21.801099,48,16,1,2,4,0.0,3,0.00014027675580016269,3,5,,13505.293795108795,COMPLETE
65,65,0.33075115503763836,2025-02-03 05:36:24.287220,2025-02-03 08:34:40.732978,0 days 02:58:16.445758,64,16,1,2,4,0.0,3,0.0002320089093184708,3,5,,10679.013708114624,COMPLETE
66,66,0.3314646838195553,2025-02-03 08:34:40.733794,2025-02-03 13:37:29.047490,0 days 05:02:48.313696,64,16,1,2,4,0.0,3,0.00012113258445625984,3,3,,18149.55182147026,COMPLETE
67,67,0.3306772740207767,2025-02-03 09:09:19.879097,2025-02-03 13:59:50.836260,0 days 04:50:30.957163,16,16,1,2,4,0.0,3,0.00015106767653159578,3,5,,17409.170435667038,COMPLETE
68,68,0.33440075179063466,2025-02-03 13:37:29.048197,2025-02-03 17:07:35.267428,0 days 03:30:06.219231,16,32,1,2,4,0.0,3,0.0003543697096555565,3,5,,12590.368564367294,COMPLETE
69,69,0.33373683461995407,2025-02-03 13:59:50.837122,2025-02-03 15:08:02.329354,0 days 01:08:11.492232,16,48,0,2,2,0.5,2,0.0005712480569740813,7,5,,4080.475526571274,COMPLETE
70,70,0.3357160705926056,2025-02-03 15:08:02.330004,2025-02-03 16:49:02.087286,0 days 01:40:59.757282,16,64,1,1,3,0.5,1,0.00010655071277645079,7,4,,6051.547398805618,COMPLETE
71,71,0.3312930979685682,2025-02-03 16:49:02.088069,2025-02-03 18:25:32.305382,0 days 01:36:30.217313,112,32,0,2,2,0.5,2,0.0014202118568622157,7,2,,5778.526667833328,COMPLETE
72,72,0.33505113354421434,2025-02-03 17:07:35.268214,2025-02-03 20:00:56.963616,0 days 02:53:21.695402,48,16,1,2,4,0.2,3,0.00011067089601303766,3,5,,10380.735144615173,COMPLETE
73,73,0.33102600728205356,2025-02-03 18:25:32.306057,2025-02-03 21:45:12.040144,0 days 03:19:39.734087,80,16,1,2,4,0.0,3,0.00014342243089547055,3,4,,11959.915169715881,COMPLETE
74,74,0.3355871071714233,2025-02-03 20:00:56.964554,2025-02-03 22:58:40.336722,0 days 02:57:43.372168,64,16,1,2,3,0.0,3,0.00014252761704616263,5,4,,10645.893698453903,COMPLETE
75,75,0.33221180488410346,2025-02-03 21:45:12.040841,2025-02-03 23:03:29.610796,0 days 01:18:17.569955,96,32,1,2,2,0.1,1,0.0008236109206039709,7,2,,4687.832721710205,COMPLETE
76,76,0.33131499495580546,2025-02-03 22:58:40.337407,2025-02-04 02:36:14.150983,0 days 03:37:33.813576,48,32,1,2,4,0.0,3,0.00013344113084122342,3,5,,13034.353698015213,COMPLETE
77,77,0.3282140682037223,2025-02-03 23:03:29.611419,2025-02-04 02:05:33.969477,0 days 03:02:04.358058,80,32,1,2,4,0.0,2,0.00011617059350882045,3,5,,10912.416078329086,COMPLETE
78,78,0.44933069464249303,2025-02-04 02:05:33.970146,2025-02-04 03:11:09.318155,0 days 01:05:35.348009,80,32,1,2,3,0.0,2,0.0002523716415555401,1,5,,3922.900934934616,COMPLETE
79,79,0.4522472981555503,2025-02-04 02:36:14.151668,2025-02-04 03:48:59.249269,0 days 01:12:45.097601,64,32,1,2,4,0.0,2,0.00013477336052359351,1,5,,4352.445545434952,COMPLETE
80,80,0.3314508735513972,2025-02-04 03:11:09.318765,2025-02-04 06:37:55.680436,0 days 03:26:46.361671,80,32,1,2,4,0.1,2,0.00013205678975588354,3,5,,12392.520292758942,COMPLETE
81,81,0.3383283433154916,2025-02-04 03:48:59.249891,2025-02-04 05:44:51.677068,0 days 01:55:52.427177,48,16,1,1,4,0.0,3,0.0001028335982275803,17,4,,6940.828716754913,COMPLETE
82,82,0.3314967651228099,2025-02-04 05:44:51.677755,2025-02-04 07:50:19.774668,0 days 02:05:28.096913,16,48,0,2,2,0.5,1,0.00011977425199174803,7,5,,7517.935891628265,COMPLETE
83,83,0.33240460243603104,2025-02-04 06:37:55.681170,2025-02-04 08:14:39.002825,0 days 01:36:43.321655,48,64,0,2,3,0.4,1,0.00022581921698811635,5,5,,5793.425290822983,COMPLETE
84,84,0.34292515848330846,2025-02-04 07:50:19.775390,2025-02-04 10:07:12.365432,0 days 02:16:52.590042,64,64,0,2,4,0.2,2,0.002051402737019449,3,1,,8200.136295557022,COMPLETE
85,85,0.3316302837076082,2025-02-04 08:14:39.003525,2025-02-04 10:52:13.324977,0 days 02:37:34.321452,64,32,1,2,4,0.30000000000000004,2,0.00012426438906132375,3,1,,9437.332539081573,COMPLETE
86,86,0.3320009944275101,2025-02-04 10:07:12.366107,2025-02-04 13:55:55.774139,0 days 03:48:43.408032,64,32,1,2,4,0.2,2,0.00011680009267179666,3,3,,13706.253154754639,COMPLETE
87,87,0.3285859126080857,2025-02-04 10:52:13.325779,2025-02-04 13:39:10.579705,0 days 02:46:57.253926,80,32,1,2,4,0.2,3,0.00012370950428208154,3,3,,9998.970724344254,COMPLETE
88,88,0.3366396023554497,2025-02-04 13:39:10.580427,2025-02-04 15:17:25.187722,0 days 01:38:14.607295,128,48,1,2,4,0.30000000000000004,3,0.00018199634303823318,3,3,,5877.105959415436,COMPLETE
89,89,0.34963409717203625,2025-02-04 13:55:55.774836,2025-02-04 14:48:18.127929,0 days 00:52:22.353093,112,32,1,2,4,0.4,1,0.0015548664717444979,3,1,,3133.0772302150726,COMPLETE
90,90,0.3355682040188593,2025-02-04 14:48:18.128603,2025-02-04 16:29:09.608220,0 days 01:40:51.479617,112,48,0,2,4,0.2,3,0.00010581893277285732,3,3,,6035.614574670792,COMPLETE
91,91,0.33045025193302335,2025-02-04 15:17:25.188449,2025-02-04 17:58:41.805170,0 days 02:41:16.616721,64,16,1,2,4,0.0,3,0.00040128364244027215,3,1,,9656.570504903793,COMPLETE
92,92,0.3301292824704724,2025-02-04 16:29:09.608915,2025-02-04 18:33:24.424358,0 days 02:04:14.815443,128,64,0,1,2,0.2,1,0.00013199223109795573,7,4,,7447.833480119705,COMPLETE
93,93,0.3299751095926111,2025-02-04 17:58:41.805997,2025-02-04 20:10:24.243995,0 days 02:11:42.437998,128,32,1,2,4,0.0,2,0.00018406495550598402,3,5,,7886.973419904709,COMPLETE
94,94,0.3323748481736894,2025-02-04 18:33:24.424958,2025-02-04 21:04:35.831040,0 days 02:31:11.406082,96,32,1,2,4,0.2,3,0.00015741622435985544,3,3,,9051.51368188858,COMPLETE
95,95,0.3481848299943758,2025-02-04 20:10:24.244703,2025-02-04 21:09:52.937141,0 days 00:59:28.692438,112,64,0,1,2,0.2,2,0.0002849643999649037,11,5,,3560.834750890732,COMPLETE
96,96,0.33084167444152307,2025-02-04 21:04:35.831715,2025-02-04 22:38:05.025684,0 days 01:33:29.193969,96,64,0,1,2,0.2,1,0.00017124893582574804,13,3,,5600.587361574173,COMPLETE
97,97,,2025-02-04 21:09:52.937826,2025-02-04 21:19:02.391675,0 days 00:09:09.453849,64,64,0,2,3,0.2,2,0.0064192796302509755,5,5,Exception: RuntimeError('Loss exploded to 665241.625 > 100000.0.'),,PRUNED
98,98,0.3297688618180285,2025-02-04 21:19:02.392167,2025-02-04 23:02:35.428853,0 days 01:43:33.036686,128,64,0,1,2,0.1,1,0.00020773587553117421,7,5,,6204.541626930237,COMPLETE
99,99,0.3413484162745921,2025-02-04 22:38:05.026466,2025-02-05 00:02:52.356250,0 days 01:24:47.329784,128,64,0,2,3,0.5,2,0.00015820593289091523,5,4,,5075.332607269287,COMPLETE
100,100,0.33582175111436596,2025-02-04 23:02:35.429605,2025-02-05 00:09:55.079852,0 days 01:07:19.650247,128,64,0,1,2,0.1,1,0.00017007993623114899,9,5,,4033.4470195770264,COMPLETE
101,101,0.3312273349956556,2025-02-05 00:02:52.357023,2025-02-05 01:56:08.509703,0 days 01:53:16.152680,128,64,0,1,3,0.1,1,0.00012165089181032328,9,4,,6787.633184194565,COMPLETE
102,102,0.3347256324554683,2025-02-05 00:09:55.080525,2025-02-05 02:19:48.613584,0 days 02:09:53.533059,128,48,1,2,4,0.0,2,0.00014058601924569455,3,4,,7781.341546297073,COMPLETE
103,103,0.33180422789207153,2025-02-05 01:56:08.510490,2025-02-05 03:46:20.548568,0 days 01:50:12.038078,112,48,1,2,4,0.0,2,0.0004266816366682517,3,5,,6596.711324214935,COMPLETE
104,104,0.3301164169443193,2025-02-05 02:19:48.614238,2025-02-05 04:07:10.011075,0 days 01:47:21.396837,112,32,0,2,4,0.0,1,0.00016613908222151854,3,5,,6432.84885931015,COMPLETE
105,105,0.341310746833559,2025-02-05 03:46:20.549332,2025-02-05 04:52:16.755816,0 days 01:05:56.206484,112,64,0,1,2,0.4,1,0.00017899388555218636,7,4,,3950.0876467227936,COMPLETE
106,106,0.33075807578688443,2025-02-05 04:07:10.011700,2025-02-05 05:43:38.717059,0 days 01:36:28.705359,96,32,0,2,3,0.0,1,0.00044594163409207625,7,5,,5778.397998332977,COMPLETE
107,107,0.3315320342584118,2025-02-05 04:52:16.756507,2025-02-05 07:06:46.216110,0 days 02:14:29.459603,128,16,1,2,4,0.0,2,0.00021503924931700108,3,4,,8053.11420083046,COMPLETE
108,108,0.33485069721140737,2025-02-05 05:43:38.717676,2025-02-05 06:45:50.684746,0 days 01:02:11.967070,128,32,0,2,4,0.1,2,0.0006219061110126186,3,4,,3717.4394187927246,COMPLETE
109,109,0.33102061671001964,2025-02-05 06:45:50.685512,2025-02-05 08:04:21.438376,0 days 01:18:30.752864,112,32,0,2,4,0.0,1,0.00015315759427131845,3,4,,4699.907918930054,COMPLETE
110,110,0.3352923492226174,2025-02-05 07:06:46.216862,2025-02-05 08:04:09.852123,0 days 00:57:23.635261,128,64,0,1,2,0.2,1,0.0010301545368128862,25,5,,3434.3409118652344,COMPLETE
111,111,0.32818390378570655,2025-02-05 08:04:09.852809,2025-02-05 10:33:02.011205,0 days 02:28:52.158396,96,32,0,2,4,0.0,1,0.00010254796742347392,3,5,,8923.394179821014,COMPLETE
112,112,0.3311220579908354,2025-02-05 08:04:21.439095,2025-02-05 09:47:54.794018,0 days 01:43:33.354923,128,48,0,2,4,0.0,1,0.00024720660531807163,3,5,,6203.779931545258,COMPLETE
113,113,0.3337587857527729,2025-02-05 09:47:54.794626,2025-02-05 11:09:10.475877,0 days 01:21:15.681251,128,48,0,1,2,0.2,1,0.00018561000485242787,7,3,,4869.052063941956,COMPLETE
114,114,0.3290490243603079,2025-02-05 10:33:02.011878,2025-02-05 13:06:29.927650,0 days 02:33:27.915772,80,32,0,2,4,0.0,1,0.00012758161409397701,3,5,,9197.388410329819,COMPLETE
115,115,0.3297095729383677,2025-02-05 11:09:10.476636,2025-02-05 12:48:32.066091,0 days 01:39:21.589455,96,32,0,2,4,0.0,1,0.00014071087412415438,3,5,,5950.108503580093,COMPLETE
116,116,0.4577235535747583,2025-02-05 12:48:32.066887,2025-02-05 13:29:21.758940,0 days 00:40:49.692053,96,16,0,1,4,0.0,1,0.0006809693728241825,1,4,,2444.3227682113647,COMPLETE
117,117,0.3280032238017873,2025-02-05 13:06:29.928389,2025-02-05 14:48:41.344818,0 days 01:42:11.416429,80,16,0,2,4,0.1,1,0.00015372783843656458,3,5,,6121.824658870697,COMPLETE
118,118,0.3310753485733156,2025-02-05 13:29:21.759601,2025-02-05 14:54:58.302300,0 days 01:25:36.542699,64,16,0,2,4,0.0,1,0.0002368780606736272,3,5,,5127.776568412781,COMPLETE
119,119,0.33115884067252993,2025-02-05 14:48:41.345428,2025-02-05 16:23:22.310280,0 days 01:34:40.964852,64,32,0,2,4,0.2,2,0.0003104383221783492,3,5,,5666.829996109009,COMPLETE
120,120,0.32590944238033387,2025-02-05 14:54:58.303078,2025-02-05 18:10:54.051136,0 days 03:15:55.748058,80,48,0,2,4,0.1,1,0.00013792944885624402,3,4,,11746.276575088501,COMPLETE
121,121,0.3345857081281867,2025-02-05 16:23:22.310937,2025-02-05 17:52:30.867330,0 days 01:29:08.556393,64,48,0,2,4,0.0,1,0.00010614582780370294,3,4,,5338.668927669525,COMPLETE
122,122,0.33217055734336404,2025-02-05 17:52:30.868074,2025-02-05 20:42:38.100258,0 days 02:50:07.232184,64,16,0,2,4,0.2,1,0.0001715530771892105,3,5,,10196.928580760956,COMPLETE
123,123,0.3357088951101454,2025-02-05 18:10:54.051785,2025-02-05 19:36:35.147564,0 days 01:25:41.095779,96,16,0,2,4,0.30000000000000004,1,0.00017591968314209592,3,4,,5130.740873813629,COMPLETE
124,124,0.33130232416915606,2025-02-05 19:36:35.148216,2025-02-05 21:09:12.299400,0 days 01:32:37.151184,80,48,0,2,4,0.0,1,0.0001613369911676522,3,5,,5548.734120130539,COMPLETE
125,125,0.33760535901345995,2025-02-05 20:42:38.100934,2025-02-05 22:03:26.175681,0 days 01:20:48.074747,64,32,1,1,4,0.30000000000000004,3,0.0002496221429550882,7,3,,4834.86495923996,COMPLETE
126,126,0.3295324301089893,2025-02-05 21:09:12.300106,2025-02-05 23:44:36.619296,0 days 02:35:24.319190,96,64,0,2,4,0.2,1,0.00010401709840127198,3,3,,9313.606063365936,COMPLETE
127,127,0.32743703005983754,2025-02-05 22:03:26.176808,2025-02-05 23:48:54.774563,0 days 01:45:28.597755,80,32,0,1,4,0.1,1,0.00016635128075042174,7,5,,6323.973797798157,COMPLETE
