,number,value,datetime_start,datetime_complete,duration,params_d_ff,params_d_model,params_dropout,params_e_layers,params_learning_rate,params_num_kernels,params_top_k,user_attrs_pruned,user_attrs_training_time,state
0,0,0.2867950484447699,2025-01-28 13:57:04.059329,2025-01-28 14:23:42.780386,0 days 00:26:38.721057,256,32,0.2,1,0.0002696030947576941,5,1,,1583.248731136322,COMPLETE
1,1,0.30502824881117996,2025-01-28 13:57:04.064582,2025-01-28 14:25:34.163292,0 days 00:28:30.098710,240,112,0.2,1,0.002209810211190693,3,2,,1695.6265923976898,COMPLETE
2,2,0.30414202816753794,2025-01-28 14:23:42.783040,2025-01-28 15:54:24.275812,0 days 01:30:41.492772,16,96,0.3,4,0.0002294194592062634,4,4,,5435.978983640671,COMPLETE
3,3,,2025-01-28 14:25:34.165217,2025-01-28 19:15:53.935261,0 days 04:50:19.770044,160,112,0.0,4,0.0014931035001634243,6,5,"Exception: OutOfMemoryError('CUDA out of memory. Tried to allocate 13.50 GiB. GPU 1 has a total capacity of 39.39 GiB of which 12.53 GiB is free. Process 3075574 has 26.85 GiB memory in use. Of the allocated memory 19.88 GiB is allocated by PyTorch, and 6.46 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",,PRUNED
4,4,0.2905965060626255,2025-01-28 15:54:24.277498,2025-01-28 16:34:45.281090,0 days 00:40:21.003592,48,112,0.1,2,0.00648892999398008,4,3,,2419.636815071106,COMPLETE
5,5,,2025-01-28 16:34:45.283879,2025-01-28 17:26:26.670707,0 days 00:51:41.386828,160,128,0.2,1,0.008882826784259069,6,4,"Exception: OutOfMemoryError('CUDA out of memory. Tried to allocate 12.00 GiB. GPU 0 has a total capacity of 39.39 GiB of which 11.28 GiB is free. Process 3075574 has 28.11 GiB memory in use. Of the allocated memory 15.41 GiB is allocated by PyTorch, and 12.19 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",,PRUNED
6,6,0.32033853694431946,2025-01-28 17:26:26.672053,2025-01-28 18:28:41.690839,0 days 01:02:15.018786,224,16,0.2,3,0.008219172776560523,4,4,,3730.3981659412384,COMPLETE
7,7,0.31986791719292856,2025-01-28 18:28:41.693028,2025-01-28 19:31:47.126041,0 days 01:03:05.433013,112,32,0.1,2,0.000637936778296536,6,4,,3782.2455217838287,COMPLETE
8,8,0.3236366969494456,2025-01-28 19:15:53.937920,2025-01-28 20:23:07.287057,0 days 01:07:13.349137,128,32,0.3,4,0.00016200949656584,5,1,,4028.599200487137,COMPLETE
9,9,0.27255561022485786,2025-01-28 19:31:47.127368,2025-01-28 20:03:04.023365,0 days 00:31:16.895997,144,16,0.2,1,0.00016624755918021706,4,1,,1876.5412583351135,COMPLETE
10,10,0.2835579333534312,2025-01-28 20:03:04.025374,2025-01-28 20:35:58.336842,0 days 00:32:54.311468,64,80,0.3,1,0.00032530823396315225,5,1,,1973.7453672885895,COMPLETE
11,11,0.2752119883365861,2025-01-28 20:23:07.289022,2025-01-28 20:42:52.158755,0 days 00:19:44.869733,112,64,0.3,1,0.00018171289657935261,2,1,,1184.6536967754364,COMPLETE
12,12,0.281770379964711,2025-01-28 20:35:58.338600,2025-01-28 21:14:08.141065,0 days 00:38:09.802465,112,96,0.3,1,0.000267294331974787,5,1,,2288.8299522399902,COMPLETE
13,13,0.26736397669475975,2025-01-28 20:42:52.160440,2025-01-28 21:13:43.046358,0 days 00:30:50.885918,96,16,0.3,1,0.00019092974619876402,2,1,,1850.722706079483,COMPLETE
14,14,0.3015391320086885,2025-01-28 21:13:43.047812,2025-01-28 21:56:03.228031,0 days 00:42:20.180219,112,16,0.1,2,0.0001865527338073006,4,1,,2539.720860719681,COMPLETE
15,15,0.26860037377647666,2025-01-28 21:14:08.141964,2025-01-28 21:47:39.005047,0 days 00:33:30.863083,32,16,0.2,1,0.0004024090077375342,2,3,,2010.6923580169678,COMPLETE
16,16,0.2697538407419868,2025-01-28 21:47:39.007327,2025-01-28 23:16:18.741195,0 days 01:28:39.733868,16,16,0.2,3,0.0001308424644150821,3,3,,5319.381998300552,COMPLETE
17,17,0.26972066197690203,2025-01-28 21:56:03.229284,2025-01-28 22:33:30.617727,0 days 00:37:27.388443,64,16,0.3,1,0.0012051172509680874,2,3,,2247.164342403412,COMPLETE
18,18,0.2699983531315039,2025-01-28 22:33:30.619380,2025-01-28 23:23:41.429485,0 days 00:50:10.810105,48,16,0.2,1,0.00010109489575386346,3,3,,3010.5063297748566,COMPLETE
19,19,0.2674147695731704,2025-01-28 23:16:18.742471,2025-01-28 23:52:37.835236,0 days 00:36:19.092765,32,48,0.1,1,0.00010198574550687645,1,3,,2178.9234414100647,COMPLETE
20,20,0.2762620400004301,2025-01-28 23:23:41.430769,2025-01-28 23:57:37.425303,0 days 00:33:55.994534,80,48,0.1,1,0.0009293365784979823,2,2,,2035.763658285141,COMPLETE
21,21,0.26840305196652736,2025-01-28 23:52:37.837307,2025-01-29 00:26:05.952165,0 days 00:33:28.114858,80,64,0.0,1,0.00012566670965526592,1,2,,2007.9130749702454,COMPLETE
22,22,0.2697150172780149,2025-01-28 23:57:37.426318,2025-01-29 00:25:46.688612,0 days 00:28:09.262294,16,32,0.0,1,0.0005067072931030194,1,3,,1689.12393784523,COMPLETE
23,23,0.27563241998471216,2025-01-29 00:25:46.690086,2025-01-29 01:07:11.306908,0 days 00:41:24.616822,32,48,0.2,2,0.0006319249883162009,2,5,,2483.9266793727875,COMPLETE
24,24,0.27156175888227646,2025-01-29 00:26:05.956201,2025-01-29 00:42:33.610993,0 days 00:16:27.654792,48,96,0.0,1,0.00012883019164091147,2,2,,987.2645974159241,COMPLETE
25,25,0.26816872660880536,2025-01-29 00:42:33.612340,2025-01-29 01:00:13.168009,0 days 00:17:39.555669,32,16,0.3,2,0.00011214384105213899,1,1,,1059.3963854312897,COMPLETE
26,26,0.2675929498092204,2025-01-29 01:00:13.170289,2025-01-29 01:19:26.623010,0 days 00:19:13.452721,16,32,0.3,1,0.00011304114516309578,3,1,,1153.27361536026,COMPLETE
27,27,0.2690600759582711,2025-01-29 01:07:11.308817,2025-01-29 02:01:28.202165,0 days 00:54:16.893348,16,64,0.2,3,0.00014611376428306667,1,1,,3256.663950920105,COMPLETE
28,28,0.2686215869422918,2025-01-29 01:19:26.624786,2025-01-29 01:54:52.543981,0 days 00:35:25.919195,96,16,0.3,1,0.00021988409465117107,2,2,,2125.7101559638977,COMPLETE
29,29,0.2680636533936073,2025-01-29 01:54:52.547108,2025-01-29 02:13:42.963637,0 days 00:18:50.416529,16,48,0.2,1,0.0001899392149469707,3,1,,1130.193856716156,COMPLETE
30,30,0.2676807772756941,2025-01-29 02:01:28.203823,2025-01-29 03:05:23.331998,0 days 01:03:55.128175,16,32,0.1,2,0.00018251567374870197,1,4,,3834.8980066776276,COMPLETE
31,31,0.2678651112543764,2025-01-29 02:13:42.965740,2025-01-29 02:26:05.235741,0 days 00:12:22.270001,48,16,0.3,1,0.0002172294120649183,3,1,,742.0677788257599,COMPLETE
32,32,0.2787444383463749,2025-01-29 02:26:05.238840,2025-01-29 02:43:35.549568,0 days 00:17:30.310728,48,16,0.3,2,0.0005033879401452417,3,1,,1050.0312063694,COMPLETE
33,33,0.26993128312717324,2025-01-29 02:43:35.551400,2025-01-29 03:02:04.222746,0 days 00:18:28.671346,112,16,0.3,1,0.00010377957567150864,3,1,,1108.4263298511505,COMPLETE
34,34,0.26806999604361076,2025-01-29 03:02:04.224788,2025-01-29 03:32:10.762998,0 days 00:30:06.538210,32,64,0.1,1,0.000183917434411324,2,3,,1806.2710785865784,COMPLETE
35,35,0.31534597629540095,2025-01-29 03:05:23.333369,2025-01-29 04:26:26.498657,0 days 01:21:03.165288,48,48,0.0,2,0.0001145733878712121,3,5,,4862.276198863983,COMPLETE
36,36,0.267030305618803,2025-01-29 03:32:10.764616,2025-01-29 05:02:20.572034,0 days 01:30:09.807418,32,16,0.2,2,0.00010578549698694253,1,5,,5409.542624950409,COMPLETE
37,37,0.2678973563069769,2025-01-29 04:26:26.500007,2025-01-29 05:23:11.345235,0 days 00:56:44.845228,32,16,0.1,2,0.0001161535703897368,1,3,,3404.6739377975464,COMPLETE
38,38,0.2694317051613168,2025-01-29 05:02:20.574133,2025-01-29 06:27:25.163362,0 days 01:25:04.589229,96,48,0.2,3,0.00011024083158293209,1,5,,5103.97683429718,COMPLETE
39,39,0.2675889498768364,2025-01-29 05:23:11.347612,2025-01-29 07:20:38.621556,0 days 01:57:27.273944,96,16,0.3,3,0.00011638897520844197,1,5,,7046.870583772659,COMPLETE
40,40,0.27021332447720076,2025-01-29 06:27:25.164506,2025-01-29 06:58:30.383653,0 days 00:31:05.219147,48,16,0.2,1,0.0004500836287967627,1,5,,1865.033709526062,COMPLETE
41,41,0.2688680706956815,2025-01-29 06:58:30.386390,2025-01-29 08:12:59.382339,0 days 01:14:28.995949,32,64,0.3,2,0.00010601244896235753,2,5,,4468.430068254471,COMPLETE
42,42,0.2691034021687994,2025-01-29 07:20:38.622659,2025-01-29 08:56:46.980628,0 days 01:36:08.357969,112,16,0.3,3,0.00048263233160390773,1,5,,5767.949698209763,COMPLETE
43,43,0.28554448485279077,2025-01-29 08:12:59.383689,2025-01-29 09:33:31.490510,0 days 01:20:32.106821,112,16,0.3,3,0.0001400856578057249,2,4,,4831.262197971344,COMPLETE
44,44,0.26665418566799565,2025-01-29 08:56:46.981702,2025-01-29 09:17:26.564843,0 days 00:20:39.583141,112,48,0.2,1,0.00011877017277187525,1,4,,1239.3286139965057,COMPLETE
45,45,0.31283338314580006,2025-01-29 09:17:26.566129,2025-01-29 10:53:07.351644,0 days 01:35:40.785515,192,16,0.2,3,0.0002182698640570987,3,5,,5735.541228532791,COMPLETE
46,46,0.26794340777612274,2025-01-29 09:33:31.491857,2025-01-29 10:06:55.124769,0 days 00:33:23.632912,96,64,0.2,1,0.00020736524260303103,1,4,,2003.3725204467773,COMPLETE
47,47,0.2770907856529074,2025-01-29 10:06:55.126782,2025-01-29 11:18:36.947163,0 days 01:11:41.820381,32,16,0.2,2,0.00019283697600088048,3,5,,4301.332698106766,COMPLETE
48,48,0.26630115612130173,2025-01-29 10:53:07.353658,2025-01-29 13:55:00.638683,0 days 03:01:53.285025,48,16,0.3,3,0.0001670273200721236,1,5,,10912.960368394852,COMPLETE
49,49,0.2718910296723571,2025-01-29 11:18:36.948520,2025-01-29 12:10:15.604214,0 days 00:51:38.655694,144,32,0.3,1,0.00010286030441859535,2,4,,3098.294997692108,COMPLETE
50,50,0.2678004535701964,2025-01-29 12:10:15.605500,2025-01-29 13:00:36.525121,0 days 00:50:20.919621,64,48,0.1,1,0.00012006216531162099,1,4,,3020.7230417728424,COMPLETE
51,51,0.26734144936135057,2025-01-29 13:00:36.527353,2025-01-29 15:27:01.606634,0 days 02:26:25.079281,16,16,0.3,2,0.00012199457206778481,1,4,,8784.880352258682,COMPLETE
52,52,0.2681985868453538,2025-01-29 13:55:00.639871,2025-01-29 15:50:01.875580,0 days 01:55:01.235709,64,16,0.3,3,0.00014908182278004878,1,5,,6900.904472351074,COMPLETE
53,53,0.2653293792423285,2025-01-29 15:27:01.608334,2025-01-29 18:06:37.523760,0 days 02:39:35.915426,16,16,0.2,3,0.00016003015927106598,2,5,,9575.475285768509,COMPLETE
54,54,0.2678570414201414,2025-01-29 15:50:01.876699,2025-01-29 16:58:51.247289,0 days 01:08:49.370590,32,32,0.3,2,0.00011470291801557324,1,5,,4129.038840532303,COMPLETE
55,55,0.2689845894365788,2025-01-29 16:58:51.249598,2025-01-29 17:36:21.496328,0 days 00:37:30.246730,64,32,0.3,2,0.00025281123319645583,1,3,,2250.0063152313232,COMPLETE
56,56,0.26757473342303495,2025-01-29 17:36:21.498012,2025-01-29 18:09:13.615983,0 days 00:32:52.117971,96,16,0.2,1,0.00010433612564911896,1,4,,1971.9032785892487,COMPLETE
57,57,0.29185048831384036,2025-01-29 18:06:37.524899,2025-01-29 20:08:18.140880,0 days 02:01:40.615981,32,32,0.1,4,0.00032511922888716146,2,5,,7299.896086931229,COMPLETE
58,58,0.26650946028258704,2025-01-29 18:09:13.617802,2025-01-29 19:00:47.197297,0 days 00:51:33.579495,16,16,0.3,1,0.00014283595535434016,1,4,,3093.429186105728,COMPLETE
59,59,0.2690505849490629,2025-01-29 19:00:47.198821,2025-01-29 19:44:23.256805,0 days 00:43:36.057984,176,32,0.1,1,0.0002011335657759378,1,3,,2615.834725379944,COMPLETE
60,60,0.26700045962391555,2025-01-29 19:44:23.258789,2025-01-29 21:02:33.115475,0 days 01:18:09.856686,16,16,0.2,2,0.00014006810967418608,1,5,,4689.644548177719,COMPLETE
61,61,0.26820734827672527,2025-01-29 20:08:18.142718,2025-01-29 21:10:33.307654,0 days 01:02:15.164936,32,16,0.3,1,0.00022128064003323027,1,3,,3735.036753177643,COMPLETE
62,62,0.27088831976824584,2025-01-29 21:02:33.117006,2025-01-29 22:57:31.965016,0 days 01:54:58.848010,16,16,0.2,2,0.0001038235862770143,2,5,,6898.46902346611,COMPLETE
63,63,0.26819517995270087,2025-01-29 21:10:33.309320,2025-01-29 21:57:20.129965,0 days 00:46:46.820645,16,16,0.3,2,0.0004523310904551484,1,4,,2806.610940694809,COMPLETE
