set,mse,rmse,mae,mape,r2
train,0.2328797787326169,0.48257618956245335,0.27625453729744254,213.59086457425778,0.7668306031617336
validation,0.2453569275109664,0.49533516684257983,0.274978916533531,169.5406065023842,0.4623073673275551
test,0.3717585851328226,0.6097200875260899,0.3799492937698236,219.98243097369672,0.3464514988753762
