# Source: Open Power System Data - Household Data, v2020-04-15
# Changes: cleaned & resampled by ULudo, 2025 - CC BY 4.0
unixtime,load,pv
1432223100,0.0790,0.0780
1432224000,0.0780,0.1950
1432224900,0.0800,0.2310
1432225800,0.1100,0.1700
1432226700,0.1070,0.1580
1432227600,0.2730,0.1730
1432228500,0.0990,0.1320
1432229400,0.1030,0.0840
1432230300,0.0880,0.0760
1432231200,0.1170,0.0440
1432232100,0.1520,0.0120
1432233000,0.1380,0.0000
1432233900,0.1200,0.0000
1432234800,0.1500,0.0000
1432235700,0.1800,0.0000
1432236600,0.1130,0.0000
1432237500,0.1370,0.0000
1432238400,0.1330,0.0000
1432239300,0.1370,0.0000
1432240200,0.1200,0.0000
1432241100,0.1200,0.0000
1432242000,0.1820,0.0000
1432242900,0.0630,0.0000
1432243800,0.1150,0.0000
1432244700,0.0820,0.0000
1432245600,0.0730,0.0000
1432246500,0.0800,0.0000
1432247400,0.0800,0.0000
1432248300,0.0800,0.0000
1432249200,0.0780,0.0000
1432250100,0.0690,0.0000
1432251000,0.1010,0.0000
1432251900,0.0720,0.0000
1432252800,0.0800,0.0000
1432253700,0.0780,0.0000
1432254600,0.0620,0.0000
1432255500,0.0800,0.0000
1432256400,0.0670,0.0000
1432257300,0.0830,0.0000
1432258200,0.0870,0.0000
1432259100,0.0730,0.0000
1432260000,0.0880,0.0000
1432260900,0.0700,0.0000
1432261800,0.0720,0.0000
1432262700,0.0800,0.0000
1432263600,0.0680,0.0000
1432264500,0.0920,0.0000
1432265400,0.0980,0.0000
1432266300,0.0820,0.0000
1432267200,0.1250,0.0000
1432268100,0.0800,0.0080
1432269000,0.1120,0.0310
1432269900,0.0880,0.0290
1432270800,0.1220,0.0310
1432271700,0.1180,0.0580
1432272600,0.1700,0.0960
1432273500,0.1650,0.2540
1432274400,0.0780,0.3810
1432275300,0.0990,0.4610
1432276200,0.0910,0.9280
1432277100,0.0790,0.9670
1432278000,0.5280,0.5400
1432278900,0.2680,0.5370
1432279800,0.7820,0.7620
1432280700,0.6570,0.9880
1432281600,0.9330,1.5400
1432282500,0.4200,1.6260
1432283400,0.3600,1.6270
1432284300,0.1850,1.5330
1432285200,0.4250,1.2490
1432286100,0.4480,1.2420
1432287000,0.3270,0.4930
1432287900,0.5850,0.6230
1432288800,0.4030,0.8750
1432289700,0.3170,0.7710
1432290600,0.1200,0.6590
1432291500,0.1230,1.0390
1432292400,0.1300,1.4070
1432293300,0.0800,1.6620
1432294200,0.1090,1.6530
1432295100,0.1110,1.1060
1432296000,0.1100,0.2360
1432296900,0.0990,0.3430
1432297800,0.1960,0.5010
1432298700,0.0850,0.6050
1432299600,0.0800,0.2680
1432300500,0.0800,0.8600
1432301400,0.1000,1.0430
1432302300,0.0900,1.3390
1432303200,0.1100,1.2400
1432304100,0.0900,0.8280
1432305000,0.0990,0.8800
1432305900,0.1010,1.2170
1432306800,0.0800,1.1510
1432307700,0.0920,0.6620
1432308600,0.0880,0.3870
1432309500,0.0720,0.5120
1432310400,0.0900,0.4390
1432311300,0.0880,0.2250
1432312200,0.1120,0.2910
1432313100,0.1050,0.0950
1432314000,0.1200,0.0960
1432314900,0.1350,0.1010
1432315800,0.0780,0.1100
1432316700,0.1100,0.1090
1432317600,0.3500,0.0900
1432318500,0.0800,0.0540
1432319400,0.0820,0.0210
1432320300,0.0880,0.0000
1432321200,0.1290,0.0000
1432322100,0.1860,0.0000
1432323000,0.1790,0.0000
1432323900,0.2230,0.0000
1432324800,0.1700,0.0000
1432325700,0.1620,0.0000
1432326600,0.1300,0.0000
1432327500,0.1180,0.0000
1432328400,0.1520,0.0000
1432329300,0.0910,0.0000
1432330200,0.0890,0.0000
1432331100,0.1110,0.0000
1432332000,0.0800,0.0000
1432332900,0.0720,0.0000
1432333800,0.0800,0.0000
1432334700,0.0980,0.0000
1432335600,0.0820,0.0000
1432336500,0.0980,0.0000
1432337400,0.0700,0.0000
1432338300,0.0800,0.0000
1432339200,0.0800,0.0000
1432340100,0.0690,0.0000
1432341000,0.1010,0.0000
1432341900,0.0820,0.0000
1432342800,0.0780,0.0000
1432343700,0.0920,0.0000
1432344600,0.0780,0.0000
1432345500,0.0690,0.0000
1432346400,0.0830,0.0000
1432347300,0.0770,0.0000
1432348200,0.0710,0.0000
1432349100,0.0920,0.0000
1432350000,0.0870,0.0000
1432350900,0.0810,0.0000
1432351800,0.0720,0.0000
1432352700,0.0950,0.0000
1432353600,0.1030,0.0180
1432354500,0.0800,0.0420
1432355400,0.1190,0.0640
1432356300,0.0910,0.0930
1432357200,0.0990,0.1160
1432358100,0.1000,0.1510
1432359000,0.0710,0.2260
1432359900,0.1100,0.2500
1432360800,0.0800,0.3140
1432361700,0.1300,0.4430
1432362600,0.0920,0.4200
1432363500,0.0970,0.3450
1432364400,0.1010,0.4170
1432365300,0.0800,0.4230
1432366200,0.1000,0.4800
1432367100,0.0800,0.6770
1432368000,0.0920,0.6400
1432368900,0.1000,0.6500
1432369800,0.1050,0.6600
1432370700,0.1000,0.7280
1432371600,0.1730,0.8540
1432372500,0.7650,0.8150
1432373400,0.8320,0.9900
1432374300,0.6350,1.2630
1432375200,0.5180,1.5140
1432376100,0.3170,0.8770
1432377000,0.1570,0.7900
1432377900,0.1260,0.9840
1432378800,0.1070,0.7330
1432379700,0.0950,0.6620
1432380600,0.1050,0.6560
1432381500,0.4180,0.8220
1432382400,0.2550,1.0030
1432383300,0.1270,1.1350
1432384200,0.4150,1.1620
1432385100,0.2770,0.7720
1432386000,0.4010,0.5900
1432386900,0.4890,1.0110
1432387800,0.5650,0.9530
1432388700,0.2380,0.8070
1432389600,0.1050,0.8800
1432390500,0.0930,0.7080
1432391400,0.1220,0.5600
1432392300,0.1080,0.6520
1432393200,0.1100,0.2440
1432394100,0.1420,0.2320
1432395000,0.1130,0.5290
1432395900,0.0950,0.3610
1432396800,0.0820,0.3490
1432397700,0.0870,0.3440
1432398600,0.1110,0.2700
1432399500,0.0820,0.1450
1432400400,0.0980,0.1430
1432401300,0.1370,0.1300
1432402200,0.1220,0.1200
1432403100,0.1080,0.0960
1432404000,0.1100,0.0360
1432404900,0.1230,0.0100
1432405800,0.1440,0.0000
1432406700,0.2630,0.0000
1432407600,0.1300,0.0000
1432408500,0.1570,0.0000
1432409400,0.1160,0.0000
1432410300,0.1200,0.0000
1432411200,0.1170,0.0000
1432412100,0.1230,0.0000
1432413000,0.1470,0.0000
1432413900,0.1130,0.0000
1432414800,0.1200,0.0000
1432415700,0.1090,0.0000
1432416600,0.1380,0.0000
1432417500,0.1300,0.0000
1432418400,0.1230,0.0000
1432419300,0.1000,0.0000
