# Source: Open Power System Data - Household Data, v2020-04-15
# Changes: cleaned & resampled by ULudo, 2025 - CC BY 4.0
unixtime,load,pv
1456680600,0.1450,0.0000
1456681500,0.1800,0.0000
1456682400,0.1800,0.0000
1456683300,0.2380,0.0000
1456684200,0.2300,0.0000
1456685100,0.2200,0.0000
1456686000,0.2670,0.0000
1456686900,0.2660,0.0000
1456687800,0.2690,0.0000
1456688700,0.2210,0.0000
1456689600,0.1990,0.0000
1456690500,0.2010,0.0000
1456691400,0.1990,0.0000
1456692300,0.1900,0.0000
1456693200,0.2030,0.0000
1456694100,0.1500,0.0000
1456695000,0.1600,0.0000
1456695900,0.1610,0.0000
1456696800,0.1490,0.0000
1456697700,0.1330,0.0000
1456698600,0.1190,0.0000
1456699500,0.1310,0.0000
1456700400,0.0410,0.0000
1456701300,0.0510,0.0000
1456702200,0.0390,0.0000
1456703100,0.0610,0.0000
1456704000,0.0870,0.0000
1456704900,0.0630,0.0000
1456705800,0.0500,0.0000
1456706700,0.0500,0.0000
1456707600,0.0580,0.0000
1456708500,0.0600,0.0000
1456709400,0.0710,0.0000
1456710300,0.0990,0.0000
1456711200,0.0820,0.0000
1456712100,0.0590,0.0000
1456713000,0.0510,0.0000
1456713900,0.0510,0.0000
1456714800,0.0420,0.0000
1456715700,0.0470,0.0000
1456716600,0.0880,0.0000
1456717500,0.0800,0.0000
1456718400,0.0610,0.0000
1456719300,0.0610,0.0000
1456720200,0.0510,0.0000
1456721100,0.0490,0.0000
1456722000,0.0430,0.0000
1456722900,0.2640,0.0000
1456723800,0.4200,0.0000
1456724700,0.2060,0.0000
1456725600,0.2100,0.0000
1456726500,0.1350,0.0000
1456727400,0.5070,0.0100
1456728300,0.4250,0.0100
1456729200,0.0610,0.0090
1456730100,0.0680,0.0100
1456731000,0.0710,0.0200
1456731900,0.0500,0.0180
1456732800,0.0490,0.0200
1456733700,0.0510,0.0200
1456734600,0.0500,0.0290
1456735500,0.0470,0.0240
1456736400,0.0630,0.0290
1456737300,0.0300,0.0300
1456738200,0.0120,0.0280
1456739100,0.0000,0.0390
1456740000,0.0000,0.0510
1456740900,0.0580,0.0320
1456741800,0.2010,0.0380
1456742700,0.0970,0.0300
1456743600,0.0800,0.0500
1456744500,0.0520,0.0570
1456745400,0.0580,0.0430
1456746300,0.0630,0.0600
1456747200,0.0800,0.0500
1456748100,0.0770,0.0600
1456749000,0.1000,0.0290
1456749900,0.1190,0.0310
1456750800,0.1000,0.0490
1456751700,0.2630,0.0680
1456752600,0.4720,0.0800
1456753500,0.3930,0.1000
1456754400,0.3800,0.0800
1456755300,0.3430,0.0730
1456756200,0.3400,0.0600
1456757100,0.3100,0.0680
1456758000,0.1870,0.0340
1456758900,0.2100,0.0300
1456759800,0.0850,0.0190
1456760700,0.0970,0.0220
1456761600,0.1110,0.0000
1456762500,0.1190,0.0000
1456763400,0.1480,0.0000
1456764300,0.1400,0.0000
1456765200,0.1600,0.0000
1456766100,0.1610,0.0000
1456767000,0.1580,0.0000
1456767900,0.1700,0.0000
1456768800,0.2160,0.0000
1456769700,0.4730,0.0000
1456770600,0.7610,0.0000
1456771500,1.0760,0.0000
1456772400,0.6630,0.0000
1456773300,0.2520,0.0000
1456774200,0.1510,0.0000
1456775100,0.2330,0.0000
1456776000,0.5580,0.0000
1456776900,0.4730,0.0000
1456777800,0.3820,0.0000
1456778700,0.5900,0.0000
1456779600,0.2010,0.0000
1456780500,0.1920,0.0000
1456781400,0.1020,0.0000
1456782300,0.0830,0.0000
1456783200,0.0870,0.0000
1456784100,0.0900,0.0000
1456785000,0.0630,0.0000
1456785900,0.0510,0.0000
1456786800,0.0480,0.0000
1456787700,0.0410,0.0000
1456788600,0.0490,0.0000
1456789500,0.0510,0.0000
1456790400,0.0700,0.0000
1456791300,0.0800,0.0000
1456792200,0.0490,0.0000
1456793100,0.0510,0.0000
1456794000,0.0700,0.0000
1456794900,0.0680,0.0000
1456795800,0.0720,0.0000
1456796700,0.0810,0.0000
1456797600,0.0760,0.0000
1456798500,0.0630,0.0000
1456799400,0.0500,0.0000
1456800300,0.0490,0.0000
1456801200,0.0510,0.0000
1456802100,0.0610,0.0000
1456803000,0.0670,0.0000
1456803900,0.0800,0.0000
1456804800,0.0710,0.0000
1456805700,0.0510,0.0000
1456806600,0.0420,0.0000
1456807500,0.0480,0.0000
1456808400,0.0510,0.0000
1456809300,0.2790,0.0000
1456810200,0.1580,0.0000
1456811100,0.2820,0.0000
1456812000,0.2230,0.0000
1456812900,0.1620,0.0000
1456813800,0.1330,0.0000
1456814700,0.0920,0.0000
1456815600,0.0950,0.0000
1456816500,0.0930,0.0000
1456817400,0.1090,0.0000
1456818300,0.0830,0.0000
1456819200,0.0510,0.0000
1456820100,0.0480,0.0000
1456821000,0.0440,0.0000
1456821900,0.0360,0.0000
1456822800,0.0780,0.0000
1456823700,0.1430,0.0000
1456824600,0.0700,0.0000
1456825500,0.0610,0.0000
1456826400,0.0590,0.0000
1456827300,0.0500,0.0000
1456828200,0.0390,0.0100
1456829100,0.0340,0.0000
1456830000,0.0470,0.0070
1456830900,0.0500,0.0020
1456831800,0.0390,0.0100
1456832700,0.0440,0.0070
1456833600,0.0290,0.0200
1456834500,0.0390,0.0210
1456835400,0.1700,0.0220
1456836300,0.0480,0.0170
1456837200,0.0760,0.0200
1456838100,0.3100,0.0140
1456839000,0.1460,0.0200
1456839900,0.0900,0.0090
1456840800,0.0970,0.0100
1456841700,0.0720,0.0000
1456842600,0.0710,0.0100
1456843500,0.1070,0.0000
1456844400,0.0920,0.0100
1456845300,0.1580,0.0100
1456846200,0.1090,0.0180
1456847100,0.0700,0.0130
1456848000,0.0800,0.0070
1456848900,0.0810,0.0030
1456849800,0.1090,0.0000
1456850700,0.1580,0.0000
1456851600,0.1430,0.0000
1456852500,0.1470,0.0000
1456853400,0.1900,0.0000
1456854300,0.3380,0.0000
1456855200,0.2300,0.0000
1456856100,0.3200,0.0000
1456857000,0.2070,0.0000
1456857900,0.1930,0.0000
1456858800,0.1540,0.0000
1456859700,0.1380,0.0000
1456860600,0.1430,0.0000
1456861500,0.1390,0.0000
1456862400,0.1380,0.0000
1456863300,0.1770,0.0000
1456864200,0.1730,0.0000
1456865100,0.1790,0.0000
1456866000,0.1890,0.0000
1456866900,0.1820,0.0000
1456867800,0.2280,0.0000
1456868700,0.2190,0.0000
1456869600,0.2380,0.0000
1456870500,0.2300,0.0000
1456871400,0.1920,0.0000
1456872300,0.1900,0.0000
1456873200,0.1930,0.0000
1456874100,0.1600,0.0000
1456875000,0.1780,0.0000
1456875900,0.1440,0.0000
1456876800,0.1380,0.0000
1456877700,0.1230,0.0000
1456878600,0.1100,0.0000
1456879500,0.1190,0.0000
1456880400,0.1280,0.0000
1456881300,0.1290,0.0000
1456882200,0.1240,0.0000
1456883100,0.1400,0.0000
1456884000,0.1370,0.0000
