# Source: Open Power System Data - Household Data, v2020-04-15
# Changes: cleaned & resampled by ULudo, 2025 - CC BY 4.0
unixtime,load,pv
1463056200,0.1870,0.1560
1463057100,0.0000,0.1550
1463058000,0.0000,0.1600
1463058900,0.0000,0.2500
1463059800,0.1350,0.2800
1463060700,0.0250,0.2400
1463061600,0.0600,0.2150
1463062500,0.0000,0.1530
1463063400,0.0100,0.1220
1463064300,0.0000,0.1490
1463065200,0.0700,0.1410
1463066100,0.3400,0.1000
1463067000,0.0750,0.0700
1463067900,0.0600,0.0550
1463068800,0.0600,0.0400
1463069700,0.1150,0.0190
1463070600,0.1050,0.0000
1463071500,0.1000,0.0210
1463072400,0.1200,0.0100
1463073300,0.1400,0.0000
1463074200,0.1400,0.0000
1463075100,0.1300,0.0000
1463076000,0.1500,0.0000
1463076900,0.1600,0.0000
1463077800,0.1900,0.0000
1463078700,0.1850,0.0000
1463079600,0.2050,0.0000
1463080500,0.1800,0.0000
1463081400,0.1800,0.0000
1463082300,0.1500,0.0000
1463083200,0.1400,0.0000
1463084100,0.1400,0.0000
1463085000,0.1400,0.0000
1463085900,0.1400,0.0000
1463086800,0.1600,0.0000
1463087700,0.1500,0.0000
1463088600,0.1500,0.0000
1463089500,0.1400,0.0000
1463090400,0.1500,0.0000
1463091300,0.1800,0.0000
1463092200,0.2800,0.0000
1463093100,0.1500,0.0000
1463094000,0.1600,0.0000
1463094900,0.1700,0.0000
1463095800,0.1400,0.0000
1463096700,0.1500,0.0000
1463097600,0.1400,0.0000
1463098500,0.1000,0.0000
1463099400,0.0550,0.0000
1463100300,0.0650,0.0000
1463101200,0.0550,0.0000
1463102100,0.0800,0.0000
1463103000,0.0750,0.0000
1463103900,0.0800,0.0000
1463104800,0.0700,0.0000
1463105700,0.0750,0.0000
1463106600,0.0700,0.0000
1463107500,0.0500,0.0000
1463108400,0.0450,0.0000
1463109300,0.0400,0.0000
1463110200,0.0500,0.0000
1463111100,0.0400,0.0000
1463112000,0.0500,0.0000
1463112900,0.0950,0.0000
1463113800,0.1200,0.0000
1463114700,0.1300,0.0000
1463115600,0.1350,0.0000
1463116500,0.2050,0.0000
1463117400,0.0750,0.0040
1463118300,0.0550,0.0400
1463119200,0.0650,0.0290
1463120100,0.0350,0.0520
1463121000,0.0200,0.0410
1463121900,0.0200,0.0690
1463122800,0.0000,0.0900
1463123700,0.0000,0.1300
1463124600,0.0000,0.1000
1463125500,0.0000,0.1300
1463126400,0.0000,0.1140
1463127300,0.0300,0.0910
1463128200,0.0200,0.0700
1463129100,0.0100,0.1250
1463130000,0.0000,0.1750
1463130900,0.0000,0.1800
1463131800,0.0000,0.2200
1463132700,0.0000,0.1450
1463133600,0.0000,0.1300
1463134500,0.0000,0.1500
1463135400,0.0000,0.1950
1463136300,0.0700,0.2600
1463137200,0.0000,0.1800
1463138100,0.0050,0.2500
1463139000,0.0250,0.1900
1463139900,0.0100,0.1450
1463140800,0.0000,0.1500
1463141700,0.0100,0.1500
1463142600,0.0300,0.1140
1463143500,0.0100,0.1260
1463144400,0.0100,0.1400
1463145300,0.0000,0.2900
1463146200,0.0000,0.2400
1463147100,0.0000,0.4740
1463148000,0.0000,0.5560
1463148900,0.0000,0.4390
1463149800,0.0000,0.2660
1463150700,0.0000,0.3050
1463151600,0.0100,0.2550
1463152500,0.0000,0.1850
1463153400,0.0300,0.0940
1463154300,0.0100,0.1560
1463155200,0.0000,0.2100
1463156100,0.0200,0.1200
1463157000,0.0850,0.0540
1463157900,0.0750,0.0610
1463158800,0.0800,0.0600
1463159700,0.1100,0.0400
1463160600,0.1550,0.0090
1463161500,0.1400,0.0210
1463162400,0.1600,0.0000
1463163300,0.1900,0.0000
1463164200,0.1800,0.0000
1463165100,0.1800,0.0000
1463166000,0.1800,0.0000
1463166900,0.2000,0.0000
1463167800,0.1850,0.0000
1463168700,0.3600,0.0000
1463169600,0.5250,0.0000
1463170500,0.1700,0.0000
1463171400,0.1600,0.0000
1463172300,0.1600,0.0000
1463173200,0.1700,0.0000
1463174100,0.1550,0.0000
1463175000,0.1750,0.0000
1463175900,0.1800,0.0000
1463176800,0.1900,0.0000
1463177700,0.1800,0.0000
1463178600,0.1900,0.0000
1463179500,0.1800,0.0000
1463180400,0.1900,0.0000
1463181300,0.1350,0.0000
1463182200,0.1150,0.0000
1463183100,0.1000,0.0000
1463184000,0.1150,0.0000
1463184900,0.1050,0.0000
1463185800,0.1100,0.0000
1463186700,0.0850,0.0000
1463187600,0.0950,0.0000
1463188500,0.1100,0.0000
1463189400,0.0900,0.0000
1463190300,0.0950,0.0000
