set,mse,rmse,mae,mape,r2
train,0.5981914608804225,0.7734283812224778,0.4325102991352264,320.49436133684344,0.4010583054017804
validation,0.26121155376555927,0.5110885967868578,0.29611671358735553,173.81086990888085,0.4275279360679544
test,0.391030118703055,0.6253240109759539,0.40228800988995467,226.24325577962665,0.31256705752909136
