set,mse,rmse,mae,mape,r2
train,0.22347872552903691,0.47273536521931264,0.26523514746814864,324.91043871088004,0.7766616322220291
validation,0.330097844197443,0.574541420784823,0.3503396194213215,356.7182858382028,0.73186291726561
test,0.29283468854236766,0.5411420225249262,0.34206312271328115,316.32298875136826,0.6381225226242817
