set,mse,rmse,mae,mape,r2
train,0.1812375422653142,0.42572002802935427,0.21390640256180293,112.59639352191498,0.8189446429820698
validation,0.27377083536088603,0.5232311490736059,0.27137710884597915,105.5793237902261,0.7179397112491731
test,0.33195735999379233,0.576157409041828,0.27207244994431484,125.06844915677058,0.47927539872056
