set,mse,rmse,mae,mape,r2
train,0.2481412932042085,0.4981378255103787,0.244156622854567,141.43591502211174,0.7521131396647762
validation,0.2984973462384635,0.5463491065595912,0.2776194937640937,120.81190798515809,0.692459217862576
test,0.33851219011976413,0.5818180042932362,0.2702305087790107,120.75629088453368,0.4691242423245933
