,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_pruned,user_attrs_training_time,state
0,0,0.35812486324611204,2025-01-31 07:40:39.117297,2025-01-31 08:01:00.832704,0 days 00:20:21.715407,0.8209365321579902,0.002274045301606384,0.0037384989854162523,6,0.005673377399269767,2.3091591290773382e-07,1.7949118354696419e-06,0.872965606736426,,1214.6722378730774,COMPLETE
1,1,0.8460627787253511,2025-01-31 08:01:00.833072,2025-01-31 08:12:57.003091,0 days 00:11:56.170019,0.7255619194603713,6.767149786230142e-07,0.0008775339008563116,3,0.3941070675759338,0.0013083434817266902,0.03547418808659188,0.5623434984655875,,713.2974805831909,COMPLETE
2,2,0.31978755628273253,2025-01-31 08:12:57.003451,2025-01-31 08:20:49.992021,0 days 00:07:52.988570,0.9440213086677804,0.0003520934494781939,0.03148172283520028,7,9.805244303011143,0.04049653978673993,0.26943300706203177,0.8184223072278063,,469.5265874862671,COMPLETE
3,3,1.241700222583849,2025-01-31 08:20:49.992371,2025-01-31 09:07:47.927670,0 days 00:46:57.935299,0.5133830570311445,1.3674032666881089e-08,0.00011787244117016562,10,0.12435019347594292,6.436275566243489e-07,1.3169252098903692e-08,0.6620451313710358,,2805.130998849869,COMPLETE
4,4,0.31763194574997206,2025-01-31 09:07:47.928901,2025-01-31 09:23:26.978528,0 days 00:15:39.049627,0.5188624576141081,5.559287914353015e-07,0.014836890530780243,7,0.005198282508396041,0.025446474003011952,0.022071365383346427,0.879792197020624,,933.1174113750458,COMPLETE
5,5,0.3332239748269898,2025-01-31 09:23:26.978978,2025-01-31 09:38:43.409452,0 days 00:15:16.430474,0.6792368117407771,0.012619375529910066,0.025090277957995524,9,2.6293594641804217,2.3622644001619026e-06,5.655738142099283e-08,0.7336296854277139,,910.3534877300262,COMPLETE
6,6,0.8729029487594113,2025-01-31 09:38:43.409827,2025-01-31 09:53:15.384201,0 days 00:14:31.974374,0.6696151291111618,3.47841829439067e-06,0.0007484637286900982,4,0.3953685646307365,9.843982704728552e-08,6.459493620047874e-07,0.748785001907699,,868.4938733577728,COMPLETE
7,7,0.8572392616461512,2025-01-31 09:53:15.384601,2025-01-31 10:23:29.678802,0 days 00:30:14.294201,0.8024112155437666,7.978382964701707e-07,0.0006755652607921721,8,0.0516139222415764,0.004589285197065868,0.012676783693142308,0.6869667278850786,,1805.915245294571,COMPLETE
8,8,0.3397225754392885,2025-01-31 10:23:29.679144,2025-01-31 10:29:19.879906,0 days 00:05:50.200762,0.5915071977794095,2.2600733964792832e-06,0.0759572553417926,9,0.019648366688423076,0.010964176297883696,0.006553117426229396,0.9926399624957238,,348.09141731262207,COMPLETE
9,9,0.7463445097223773,2025-01-31 10:29:19.880299,2025-01-31 10:53:56.621208,0 days 00:24:36.740909,0.5765552177175962,0.0010544105774004749,0.0009387552426939823,7,0.0010605711068467694,0.07325992628156987,0.04664059597183271,0.7596454977875894,,1470.2246091365814,COMPLETE
10,10,0.3511577662487519,2025-01-31 10:53:56.621675,2025-01-31 11:08:02.870793,0 days 00:14:06.249118,0.5413243337693656,1.3652464683503626e-05,0.005241941726097499,4,0.010206178869898165,0.0010376784514106614,0.005925108097363897,0.9164805636746687,,842.0229339599609,COMPLETE
11,11,0.3430037731069026,2025-01-31 11:08:02.871163,2025-01-31 11:12:42.582497,0 days 00:04:39.711334,0.8532431992265326,0.008313985716448594,0.09709042373300371,9,7.698537553224815,0.00029268615182326876,0.013110242284638826,0.8245304619766816,,277.6511957645416,COMPLETE
12,12,0.32982516783957005,2025-01-31 11:12:42.582852,2025-01-31 11:20:41.037072,0 days 00:07:58.454220,0.9510544534431111,1.1592930237974075e-06,0.04034902808123847,8,0.6442380123776005,0.1209045819554853,0.03758396357693626,0.8138041441491877,,475.02174520492554,COMPLETE
13,13,0.33887966952366205,2025-01-31 11:20:41.037494,2025-01-31 11:44:47.124356,0 days 00:24:06.086862,0.8023779541394462,0.030529227333396535,0.0043831356424338455,7,0.79129466468955,0.0781298414767661,0.0279616249087828,0.6461403829479176,,1437.5953550338745,COMPLETE
14,14,0.3118104448565318,2025-01-31 11:44:47.124862,2025-01-31 11:55:07.119930,0 days 00:10:19.995068,0.9612226245673603,0.0024108223324069067,0.026893941752639924,3,2.4545285673029564,0.008934165968310611,0.17904692877635223,0.6718879757811629,,615.4061970710754,COMPLETE
15,15,0.3113296809214269,2025-01-31 11:55:07.120298,2025-01-31 11:59:21.872952,0 days 00:04:14.752654,0.9150049493374653,7.631533889313788e-05,0.061564658187644936,5,1.334168141760417,0.16600661395323568,0.002350328688080972,0.6001749205158852,,252.82494568824768,COMPLETE
16,16,0.35393426163989544,2025-01-31 11:59:21.873293,2025-01-31 12:10:48.789802,0 days 00:11:26.916509,0.9513294874771944,0.0068233988346112434,0.006922662498757148,3,1.894594223477747,0.005112304146678337,0.002793853565400484,0.7621383298420408,,683.5601363182068,COMPLETE
