,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_pruned,user_attrs_training_time,state
0,0,0.2529715458382478,2025-01-29 21:17:47.989681,2025-01-29 21:27:36.810747,0 days 00:09:48.821066,0.8262695631921098,3.315339427070286e-06,0.006230361878737881,8,0.0010884849604624429,1.6146326160902727e-05,8.796579054960621e-05,0.9993343468394371,,587.8260645866394,COMPLETE
1,1,0.2560941680056658,2025-01-29 21:27:36.811109,2025-01-29 21:34:31.827173,0 days 00:06:55.016064,0.7416200505928214,1.1705337151667374e-07,0.006271743239767355,7,0.934537268875526,4.524071180551916e-08,0.011143660079876666,0.925942762468136,,414.2209737300873,COMPLETE
2,2,0.7125729416026635,2025-01-29 21:34:31.827550,2025-01-29 21:38:20.148513,0 days 00:03:48.320963,0.9908200105598031,1.9182688857323147e-08,0.0005020712478728059,4,0.0027721787842688765,0.2710644358870171,0.2626983036854559,0.5296189537298448,,227.7529580593109,COMPLETE
3,3,0.2766230834848345,2025-01-29 21:38:20.148909,2025-01-29 21:41:09.559567,0 days 00:02:49.410658,0.9802803287642909,0.004450094658936186,0.009870363415950713,3,0.7903223616897247,2.9131775806179036e-08,1.1601001043916255e-06,0.6727572197095164,,168.89250802993774,COMPLETE
4,4,0.39672176882058907,2025-01-29 21:41:09.559951,2025-01-29 21:48:49.078702,0 days 00:07:39.518751,0.9490282437173765,7.112726264154975e-07,0.001697030348558569,7,0.0014644853992332322,0.5087039283566274,0.0062801466886191525,0.5141257764089746,,458.7834882736206,COMPLETE
5,5,0.7983243343997826,2025-01-29 21:48:49.079089,2025-01-29 22:11:28.740204,0 days 00:22:39.661115,0.8011301272496228,0.0005695882862038625,0.0002752993517703086,10,0.14685985349045608,0.04634416586405655,2.1497439208032048e-07,0.8796061499364398,,1357.600748538971,COMPLETE
6,6,0.5052975825688132,2025-01-29 22:11:28.741368,2025-01-29 22:14:27.633743,0 days 00:02:58.892375,0.8989719694515392,0.00020276415838708621,0.0012697870770688794,3,3.459102120851603,0.5055549073886149,0.7913405574400905,0.5825758034115917,,178.3442680835724,COMPLETE
7,7,0.8222242013853457,2025-01-29 22:14:27.634158,2025-01-29 22:24:05.187125,0 days 00:09:37.552967,0.5502505116973059,1.0163472450318346e-08,0.00023755912054971564,8,0.13661105981379107,6.853328893336147e-08,4.342190578098836e-05,0.7703944424279454,,576.6969830989838,COMPLETE
8,8,0.24248057355421318,2025-01-29 22:24:05.187700,2025-01-29 22:34:32.604046,0 days 00:10:27.416346,0.8083403990623989,6.935539677187935e-05,0.08210861241622072,9,0.0018105345816691006,0.00039090043697835125,0.17270410586299847,0.9970759322228039,,626.4014165401459,COMPLETE
9,9,0.23864052120118262,2025-01-29 22:34:32.604410,2025-01-29 22:49:41.850644,0 days 00:15:09.246234,0.7415351494087528,2.0879830671952932e-08,0.057785461232961764,10,0.001507562049297289,0.0008137588333679326,0.03656366640156672,0.8682894352969319,,908.0328419208527,COMPLETE
