,number,value,datetime_start,datetime_complete,duration,params_d_ff,params_d_model,params_decomp_method,params_down_sampling_layers,params_down_sampling_window,params_dropout,params_e_layers,params_learning_rate,params_moving_avg,params_top_k,user_attrs_pruned,user_attrs_training_time,state
0,0,0.3780607400147489,2025-01-29 08:18:28.297989,2025-01-29 08:31:56.891577,0 days 00:13:28.593588,16,64,dft_decomp,2,4,0.30000000000000004,3,0.0049638747871832214,5,5,,808.3361992835999,COMPLETE
1,1,0.28901622919805087,2025-01-29 08:18:28.299023,2025-01-29 08:34:51.240964,0 days 00:16:22.941941,16,64,dft_decomp,1,2,0.4,2,0.0005308107665576969,9,5,,982.7295472621918,COMPLETE
2,2,0.2914481678992931,2025-01-29 08:31:56.892310,2025-01-29 08:44:06.333494,0 days 00:12:09.441184,112,48,dft_decomp,1,2,0.2,2,0.0009630824461784101,17,1,,729.2266955375671,COMPLETE
3,3,0.29373437483179404,2025-01-29 08:34:51.241673,2025-01-29 08:48:58.289221,0 days 00:14:07.047548,16,16,moving_avg,1,3,0.4,3,0.004271028411833567,15,3,,846.9663259983063,COMPLETE
4,4,0.2896997804431039,2025-01-29 08:44:06.334202,2025-01-29 09:01:14.087685,0 days 00:17:07.753483,128,16,moving_avg,1,3,0.2,3,0.00012268598937076206,25,4,,1027.6135938167572,COMPLETE
5,5,0.2775944563854071,2025-01-29 08:48:58.289982,2025-01-29 09:00:49.626055,0 days 00:11:51.336073,16,64,dft_decomp,1,3,0.30000000000000004,2,0.00025722165416313465,21,4,,711.1466314792633,COMPLETE
6,6,0.30292015388719656,2025-01-29 09:00:49.626635,2025-01-29 09:07:38.143361,0 days 00:06:48.516726,32,48,moving_avg,2,4,0.0,1,0.005476445504523967,5,2,,408.4094524383545,COMPLETE
7,7,0.284628493426971,2025-01-29 09:01:14.088326,2025-01-29 09:24:07.973248,0 days 00:22:53.884922,16,48,moving_avg,1,4,0.4,2,0.00013420967002904528,5,2,,1373.7637445926666,COMPLETE
8,8,0.29427642071103605,2025-01-29 09:07:38.143997,2025-01-29 09:22:26.692249,0 days 00:14:48.548252,128,48,dft_decomp,2,2,0.5,3,0.00013304400328566232,15,2,,888.2394902706146,COMPLETE
9,9,0.2887533684716745,2025-01-29 09:22:26.692869,2025-01-29 09:34:33.085266,0 days 00:12:06.392397,64,64,dft_decomp,1,3,0.2,2,0.00015039500901879697,21,3,,726.1822609901428,COMPLETE
10,10,0.3353591690222604,2025-01-29 09:24:07.973961,2025-01-29 10:00:16.700872,0 days 00:36:08.726911,64,64,dft_decomp,2,3,0.2,2,0.0006383313323419502,1,4,,2168.4787311553955,COMPLETE
11,11,0.33536789582707244,2025-01-29 09:34:33.085846,2025-01-29 10:06:28.164879,0 days 00:31:55.079033,32,32,dft_decomp,2,3,0.0,1,0.00012221955356003948,1,5,,1914.962558746338,COMPLETE
12,12,0.28455284329450165,2025-01-29 10:00:16.701492,2025-01-29 10:22:05.935666,0 days 00:21:49.234174,32,48,moving_avg,1,4,0.5,3,0.00013808663862254956,11,1,,1309.0669629573822,COMPLETE
13,13,0.27864927240608434,2025-01-29 10:06:28.165429,2025-01-29 10:22:59.879019,0 days 00:16:31.713590,32,48,moving_avg,1,3,0.4,2,0.00023269306436730138,11,1,,991.5692303180695,COMPLETE
14,14,0.29590869631671257,2025-01-29 10:22:05.936216,2025-01-29 10:31:26.310339,0 days 00:09:20.374123,16,64,dft_decomp,1,4,0.2,1,0.0007731966605949327,11,4,,560.2279307842255,COMPLETE
15,15,0.281782426725301,2025-01-29 10:22:59.879600,2025-01-29 10:34:08.159497,0 days 00:11:08.279897,32,64,moving_avg,1,2,0.4,2,0.00019825011157446147,21,2,,668.0787069797516,COMPLETE
16,16,0.2836842579007531,2025-01-29 10:31:26.311080,2025-01-29 10:41:03.926957,0 days 00:09:37.615877,32,48,moving_avg,1,2,0.4,2,0.0003734916073129745,21,1,,577.4434854984283,COMPLETE
17,17,0.29332873448524877,2025-01-29 10:34:08.160164,2025-01-29 10:57:31.901851,0 days 00:23:23.741687,32,32,moving_avg,2,3,0.5,1,0.00034724022777273114,7,2,,1403.6342215538025,COMPLETE
18,18,0.28340513482732405,2025-01-29 10:41:03.927694,2025-01-29 10:53:02.612591,0 days 00:11:58.684897,32,48,moving_avg,1,2,0.2,3,0.00024328393824218905,25,4,,718.4881579875946,COMPLETE
19,19,0.30793283327822296,2025-01-29 10:53:02.613138,2025-01-29 11:04:04.315002,0 days 00:11:01.701864,64,16,moving_avg,1,4,0.30000000000000004,2,0.0003373398407277319,15,2,,661.5967245101929,COMPLETE
20,20,0.2738500211182634,2025-01-29 10:57:31.902537,2025-01-29 11:12:26.219598,0 days 00:14:54.317061,16,64,dft_decomp,1,3,0.2,3,0.0010635395709839859,17,2,,894.06560587883,COMPLETE
21,21,0.28615059285143096,2025-01-29 11:04:04.315724,2025-01-29 11:20:14.603530,0 days 00:16:10.287806,48,48,moving_avg,1,4,0.30000000000000004,2,0.00010826903866865198,17,5,,970.1338784694672,COMPLETE
22,22,0.2845076924622154,2025-01-29 11:12:26.220163,2025-01-29 11:21:00.819014,0 days 00:08:34.598851,16,64,dft_decomp,1,4,0.2,3,0.0008162784163990282,17,2,,514.3697650432587,COMPLETE
23,23,0.2793038846191469,2025-01-29 11:20:14.604215,2025-01-29 11:34:43.640094,0 days 00:14:29.035879,16,64,dft_decomp,1,3,0.30000000000000004,3,0.0013993765742735876,19,1,,868.7931041717529,COMPLETE
24,24,0.34743031918297423,2025-01-29 11:21:00.819537,2025-01-29 11:30:10.691307,0 days 00:09:09.871770,32,64,dft_decomp,2,3,0.0,3,0.00111338796190215,7,2,,549.5957419872284,COMPLETE
25,25,0.2736027415107163,2025-01-29 11:30:10.691963,2025-01-29 11:43:32.755506,0 days 00:13:22.063543,16,32,dft_decomp,1,3,0.5,2,0.0006281890461435085,19,1,,801.9357252120972,COMPLETE
26,26,0.2863868802229396,2025-01-29 11:34:43.640719,2025-01-29 11:50:39.912969,0 days 00:15:56.272250,16,48,dft_decomp,1,3,0.4,1,0.0003979809138629292,13,1,,956.1459817886353,COMPLETE
27,27,0.28627987153721696,2025-01-29 11:43:32.756226,2025-01-29 11:57:15.726728,0 days 00:13:42.970502,48,16,dft_decomp,2,3,0.5,2,0.0010604240013737639,9,2,,822.8436162471771,COMPLETE
28,28,0.2968878641838594,2025-01-29 11:50:39.913652,2025-01-29 11:56:22.645990,0 days 00:05:42.732338,32,48,dft_decomp,1,2,0.1,2,0.002469381039542738,21,2,,342.54286336898804,COMPLETE
29,29,0.29650858366863725,2025-01-29 11:56:22.646534,2025-01-29 12:08:13.423352,0 days 00:11:50.776818,32,16,dft_decomp,1,2,0.4,3,0.0010099903658998812,21,2,,710.6484708786011,COMPLETE
30,30,0.27134690161623237,2025-01-29 11:57:15.727477,2025-01-29 12:20:27.718527,0 days 00:23:11.991050,16,16,dft_decomp,1,2,0.4,2,0.00030338031859875985,21,3,,1391.887636423111,COMPLETE
