,number,value,datetime_start,datetime_complete,duration,params_hidden_dim,params_learning_rate,user_attrs_pruned,user_attrs_training_time,state
0,0,0.3151684195605346,2025-02-04 18:46:15.940998,2025-02-04 18:47:39.569370,0 days 00:01:23.628372,1024.0,0.0001346971965312075,,83.57747793197632,COMPLETE
1,1,0.3248590162256923,2025-02-04 18:47:39.569630,2025-02-04 18:48:13.754651,0 days 00:00:34.185021,,0.0005385219366196733,,34.14378595352173,COMPLETE
2,2,0.3142537299865244,2025-02-04 18:48:13.754896,2025-02-04 18:49:46.872645,0 days 00:01:33.117749,256.0,0.00012118766221938083,,93.06990599632263,COMPLETE
3,3,0.32561358462741713,2025-02-04 18:49:46.872887,2025-02-04 18:51:49.837933,0 days 00:02:02.965046,,0.000407201531304279,,122.92378616333008,COMPLETE
4,4,0.3140927251049488,2025-02-04 18:51:49.838184,2025-02-04 18:54:37.517305,0 days 00:02:47.679121,128.0,0.00011016541999737809,,167.6339454650879,COMPLETE
5,5,0.315323612564506,2025-02-04 18:54:37.517543,2025-02-04 18:56:06.742398,0 days 00:01:29.224855,512.0,0.00016393713798529565,,89.17686367034912,COMPLETE
6,6,0.3150002216428346,2025-02-04 18:56:06.742629,2025-02-04 18:57:43.055839,0 days 00:01:36.313210,512.0,0.00024305408335396135,,96.26497983932495,COMPLETE
7,7,0.31478931913211455,2025-02-04 18:57:43.056100,2025-02-04 18:59:01.993488,0 days 00:01:18.937388,128.0,0.00012980125445048274,,78.8894214630127,COMPLETE
8,8,0.3159580853437213,2025-02-04 18:59:01.993717,2025-02-04 19:00:30.371779,0 days 00:01:28.378062,64.0,0.0007687188369373639,,88.32652688026428,COMPLETE
9,9,0.3154938317858327,2025-02-04 19:00:30.372002,2025-02-04 19:02:34.650538,0 days 00:02:04.278536,128.0,0.00028449829038747936,,124.22806358337402,COMPLETE
10,10,0.31406184451176483,2025-02-04 19:02:34.650754,2025-02-04 19:04:31.719803,0 days 00:01:57.069049,64.0,0.00010944879175845012,,117.01861310005188,COMPLETE
11,11,0.3166795960810242,2025-02-04 19:04:31.720033,2025-02-04 19:05:24.637763,0 days 00:00:52.917730,64.0,0.00013873562946356395,,52.86740732192993,COMPLETE
