,number,value,datetime_start,datetime_complete,duration,params_d_ff,params_d_model,params_decomp_method,params_down_sampling_layers,params_down_sampling_window,params_dropout,params_e_layers,params_learning_rate,params_moving_avg,params_top_k,user_attrs_pruned,user_attrs_training_time,state
28,28,0.26468929751973796,2025-01-28 18:36:55.293416,2025-01-28 18:54:26.755096,0 days 00:17:31.461680,48,32,dft_decomp,2,2,0.4,1,0.00013439602866568184,11,5,,1051.3238952159882,COMPLETE
29,29,0.27014620359865854,2025-01-28 18:49:59.016252,2025-01-28 19:02:45.365112,0 days 00:12:46.348860,48,48,dft_decomp,2,2,0.30000000000000004,2,0.0003411541460941739,17,2,,766.1189751625061,COMPLETE
30,30,0.2683067258155711,2025-01-28 18:54:26.755815,2025-01-28 19:04:46.435194,0 days 00:10:19.679379,32,48,dft_decomp,2,2,0.1,3,0.00043666860833762683,17,4,,619.4025619029999,COMPLETE
31,31,0.2675899368206917,2025-01-28 19:02:45.365763,2025-01-28 19:16:02.013760,0 days 00:13:16.647997,32,32,dft_decomp,2,2,0.2,3,0.0002002917835315164,15,4,,796.4422180652618,COMPLETE
32,32,0.2673505528627687,2025-01-28 19:04:46.435845,2025-01-28 19:25:19.330871,0 days 00:20:32.895026,64,64,dft_decomp,2,2,0.2,2,0.00016268074719751182,13,5,,1232.6134524345398,COMPLETE
33,33,0.2714481881570058,2025-01-28 19:16:02.014478,2025-01-28 19:22:42.315843,0 days 00:06:40.301365,96,64,dft_decomp,1,4,0.4,2,0.0022795298704494133,11,3,,400.09216475486755,COMPLETE
34,34,0.26772991623568787,2025-01-28 19:22:42.316402,2025-01-28 19:36:28.132981,0 days 00:13:45.816579,48,64,dft_decomp,2,2,0.2,1,0.00011606915744340943,9,5,,825.6009769439697,COMPLETE
35,35,0.2669250637039963,2025-01-28 19:25:19.331493,2025-01-28 19:41:20.094303,0 days 00:16:00.762810,64,64,dft_decomp,2,2,0.5,1,0.00015630126743571075,7,5,,960.5458035469055,COMPLETE
36,36,0.26456335778761325,2025-01-28 19:36:28.133597,2025-01-28 19:54:53.660339,0 days 00:18:25.526742,80,64,dft_decomp,2,2,0.5,1,0.00023328932985285913,7,5,,1105.3109331130981,COMPLETE
37,37,0.2671736317966182,2025-01-28 19:41:20.094948,2025-01-28 19:46:36.126222,0 days 00:05:16.031274,96,64,dft_decomp,1,4,0.4,1,0.0010117176497498673,13,4,,315.8715326786041,COMPLETE
38,38,0.27597191351223266,2025-01-28 19:46:36.126807,2025-01-28 19:53:04.043291,0 days 00:06:27.916484,64,64,moving_avg,1,4,0.2,1,0.00189414902595473,7,3,,387.77753925323486,COMPLETE
39,39,0.2658129131818296,2025-01-28 19:53:04.043879,2025-01-28 20:07:28.829692,0 days 00:14:24.785813,32,48,dft_decomp,2,2,0.30000000000000004,2,0.00020469067564943863,9,5,,864.5690574645996,COMPLETE
40,40,0.2704624306914251,2025-01-28 19:54:53.660981,2025-01-28 20:05:57.002733,0 days 00:11:03.341752,80,32,moving_avg,2,3,0.0,3,0.00021117007280720826,7,2,,663.1563880443573,COMPLETE
41,41,0.26438992232465713,2025-01-28 20:05:57.003318,2025-01-28 20:13:06.896411,0 days 00:07:09.893093,48,48,dft_decomp,1,4,0.5,1,0.0012478237930370394,13,3,,429.76221990585327,COMPLETE
42,42,0.27702209352721363,2025-01-28 20:07:28.830232,2025-01-28 20:17:44.819321,0 days 00:10:15.989089,48,48,moving_avg,2,4,0.5,1,0.00025763811833518424,1,3,,615.8634648323059,COMPLETE
43,43,0.2665752244989336,2025-01-28 20:13:06.897210,2025-01-28 20:18:04.554572,0 days 00:04:57.657362,32,32,dft_decomp,1,4,0.30000000000000004,1,0.0022029466877929583,13,3,,297.54569149017334,COMPLETE
44,44,0.26854323963892923,2025-01-28 20:17:44.819862,2025-01-28 20:22:29.071034,0 days 00:04:44.251172,32,64,dft_decomp,1,3,0.5,1,0.0009101866489941774,15,3,,284.0942373275757,COMPLETE
45,45,0.26738305834725545,2025-01-28 20:18:04.555244,2025-01-28 20:25:43.374815,0 days 00:07:38.819571,48,48,dft_decomp,1,4,0.4,2,0.0005191113621140217,13,3,,458.6455702781677,COMPLETE
46,46,0.2684576370925659,2025-01-28 20:22:29.071585,2025-01-28 20:28:00.445808,0 days 00:05:31.374223,32,48,dft_decomp,1,4,0.5,2,0.0016006362164626199,13,1,,331.21387577056885,COMPLETE
47,47,0.26647258354871656,2025-01-28 20:25:43.375445,2025-01-28 20:29:20.264881,0 days 00:03:36.889436,64,64,dft_decomp,1,4,0.5,1,0.002208840894013947,11,3,,216.73029112815857,COMPLETE
48,48,0.26632902094360156,2025-01-28 20:28:00.446425,2025-01-28 20:33:26.559876,0 days 00:05:26.113451,48,48,moving_avg,1,4,0.5,2,0.0015724443521086468,11,3,,325.9649097919464,COMPLETE
49,49,0.2683232889173656,2025-01-28 20:29:20.265646,2025-01-28 20:40:52.759890,0 days 00:11:32.494244,32,48,dft_decomp,1,3,0.30000000000000004,1,0.00012032917092858087,23,4,,692.3515231609344,COMPLETE
50,50,0.2700422891572657,2025-01-28 20:33:26.560470,2025-01-28 20:40:17.621143,0 days 00:06:51.060673,128,64,dft_decomp,1,4,0.5,1,0.0005360323762879006,9,1,,410.8775489330292,COMPLETE
51,51,0.26710921529378134,2025-01-28 20:40:17.621901,2025-01-28 20:49:00.238258,0 days 00:08:42.616357,48,64,moving_avg,2,2,0.30000000000000004,1,0.00012118942316837044,23,5,,522.4082441329956,COMPLETE
52,52,0.26768548703086914,2025-01-28 20:40:52.760604,2025-01-28 20:53:10.256698,0 days 00:12:17.496094,32,64,moving_avg,2,3,0.30000000000000004,1,0.0004709186689155571,5,4,,737.3229942321777,COMPLETE
53,53,0.2653925427274674,2025-01-28 20:49:00.238834,2025-01-28 20:56:23.863351,0 days 00:07:23.624517,48,64,moving_avg,2,3,0.30000000000000004,1,0.00047912129449113677,7,3,,443.4588658809662,COMPLETE
54,54,0.28244501848314735,2025-01-28 20:53:10.257434,2025-01-28 21:01:37.728100,0 days 00:08:27.470666,80,32,dft_decomp,1,4,0.5,2,0.004746838293364949,7,3,,507.3085870742798,COMPLETE
55,55,0.26713761990944757,2025-01-28 20:56:23.863971,2025-01-28 21:11:45.977363,0 days 00:15:22.113392,64,32,dft_decomp,1,4,0.5,1,0.0009154048824195642,7,2,,921.9992282390594,COMPLETE
56,56,0.26706709567055276,2025-01-28 21:01:37.728720,2025-01-28 21:15:29.352050,0 days 00:13:51.623330,48,48,moving_avg,2,3,0.5,1,0.0003543088737765766,7,5,,831.4856517314911,COMPLETE
57,57,0.26593176232517285,2025-01-28 21:11:45.977987,2025-01-28 21:23:23.092621,0 days 00:11:37.114634,32,64,moving_avg,2,3,0.5,1,0.00029208988695720537,5,4,,696.9501516819,COMPLETE
58,58,0.26630157874233523,2025-01-28 21:15:29.352646,2025-01-28 21:26:36.187642,0 days 00:11:06.834996,32,48,dft_decomp,2,3,0.5,1,0.00027057406496088285,7,5,,666.6892464160919,COMPLETE
59,59,0.26710094622933994,2025-01-28 21:23:23.093271,2025-01-28 21:37:18.791165,0 days 00:13:55.697894,16,64,dft_decomp,2,3,0.5,1,0.0001486970877521647,7,5,,835.5164494514465,COMPLETE
60,60,0.27370635046750097,2025-01-28 21:26:36.188194,2025-01-28 21:39:10.224728,0 days 00:12:34.036534,48,64,dft_decomp,2,2,0.30000000000000004,1,0.0076265305800118635,11,1,,753.8179504871368,COMPLETE
61,61,0.2763758502000598,2025-01-28 21:37:18.791867,2025-01-28 21:42:51.136094,0 days 00:05:32.344227,96,64,moving_avg,1,3,0.0,2,0.0072110247014571735,13,5,,332.1261622905731,COMPLETE
62,62,0.26538883889165765,2025-01-28 21:39:10.225353,2025-01-28 21:52:41.940537,0 days 00:13:31.715184,112,64,dft_decomp,2,2,0.4,1,0.00022246422986480922,9,5,,811.494217634201,COMPLETE
63,63,0.26300148059356987,2025-01-28 21:42:51.136771,2025-01-28 22:03:36.472194,0 days 00:20:45.335423,96,48,dft_decomp,2,2,0.5,1,0.0005943418664622701,9,5,,1245.1552245616913,COMPLETE
64,64,0.27689521904553255,2025-01-28 21:52:41.941177,2025-01-28 22:12:55.942439,0 days 00:20:14.001262,16,64,dft_decomp,2,4,0.5,1,0.00037996421239831735,1,3,,1213.8361682891846,COMPLETE
65,65,0.27030298361338834,2025-01-28 22:03:36.472932,2025-01-28 22:10:36.070208,0 days 00:06:59.597276,128,48,dft_decomp,2,3,0.4,1,0.001968290894689289,7,5,,419.419495344162,COMPLETE
66,66,0.2641241691928854,2025-01-28 22:10:36.070916,2025-01-28 22:17:16.362446,0 days 00:06:40.291530,16,64,dft_decomp,1,2,0.4,1,0.0002147587666816186,17,5,,400.12369775772095,COMPLETE
67,67,0.2705724583870512,2025-01-28 22:12:55.943012,2025-01-28 22:27:27.859675,0 days 00:14:31.916663,112,48,dft_decomp,2,2,0.5,1,0.000488523928854298,11,4,,871.7347996234894,COMPLETE
