,number,value,datetime_start,datetime_complete,duration,params_hidden_dim,params_learning_rate,user_attrs_pruned,user_attrs_training_time,state
0,0,0.41339816873302454,2025-02-04 22:20:25.442895,2025-02-04 22:27:27.973265,0 days 00:07:02.530370,1024.0,0.0009085287468477438,,421.9262185096741,COMPLETE
1,1,0.3896200162983065,2025-02-04 22:27:27.973530,2025-02-04 22:31:33.532969,0 days 00:04:05.559439,512.0,0.00019888332219025607,,244.9569811820984,COMPLETE
2,2,0.39890673264204524,2025-02-04 22:31:33.533211,2025-02-04 22:35:24.105510,0 days 00:03:50.572299,1024.0,0.0004111259459213129,,229.97115802764893,COMPLETE
3,3,0.39472610717391926,2025-02-04 22:35:24.105745,2025-02-04 22:41:46.228995,0 days 00:06:22.123250,256.0,0.0007590667541733086,,381.5543465614319,COMPLETE
4,4,0.3885145772430609,2025-02-04 22:41:46.229232,2025-02-04 22:52:17.504009,0 days 00:10:31.274777,512.0,0.00014060411781816488,,630.6693675518036,COMPLETE
5,5,0.389387253375979,2025-02-04 22:52:17.504255,2025-02-04 22:59:00.229140,0 days 00:06:42.724885,512.0,0.0007066600448343556,,402.12111043930054,COMPLETE
6,6,0.38704125554545216,2025-02-04 22:59:00.229366,2025-02-04 23:10:05.461603,0 days 00:11:05.232237,512.0,0.00014858721836367877,,664.6273193359375,COMPLETE
7,7,0.4041649866495242,2025-02-04 23:10:05.461849,2025-02-04 23:18:43.310007,0 days 00:08:37.848158,64.0,0.0007162699610920866,,517.2823688983917,COMPLETE
8,8,0.3852057509100528,2025-02-04 23:18:43.310240,2025-02-04 23:26:48.404075,0 days 00:08:05.093835,64.0,0.00010440084107107492,,484.52286291122437,COMPLETE
9,9,0.38346724860559056,2025-02-04 23:26:48.404285,2025-02-04 23:38:39.856415,0 days 00:11:51.452130,64.0,0.00011266815217846425,,710.8827323913574,COMPLETE
10,10,0.3914805121771396,2025-02-04 23:38:39.856629,2025-02-04 23:47:37.495485,0 days 00:08:57.638856,64.0,0.0002631804019343539,,537.0697009563446,COMPLETE
11,11,0.3860591868449292,2025-02-04 23:47:37.495697,2025-02-04 23:57:48.572927,0 days 00:10:11.077230,64.0,0.00010311116268082788,,610.5078909397125,COMPLETE
12,12,0.3878924742570599,2025-02-04 23:57:48.573155,2025-02-05 00:04:34.492457,0 days 00:06:45.919302,256.0,0.00010666157818898593,,405.3486807346344,COMPLETE
13,13,0.3895981322868831,2025-02-05 00:04:34.492670,2025-02-05 00:11:35.938800,0 days 00:07:01.446130,1024.0,0.00011993105765397169,,420.8424825668335,COMPLETE
14,14,0.385828093759727,2025-02-05 00:11:35.939022,2025-02-05 00:17:58.710663,0 days 00:06:22.771641,64.0,0.00016726657919721307,,382.2020699977875,COMPLETE
15,15,0.38520002365021705,2025-02-05 00:17:58.710871,2025-02-05 00:24:55.554416,0 days 00:06:56.843545,128.0,0.00010633420109508556,,416.27313685417175,COMPLETE
16,16,0.38574055955138276,2025-02-05 00:24:55.554633,2025-02-05 00:29:20.470495,0 days 00:04:24.915862,128.0,0.00010739519756096379,,264.31253933906555,COMPLETE
17,17,0.38574292526689086,2025-02-05 00:29:20.470704,2025-02-05 00:38:31.570801,0 days 00:09:11.100097,128.0,0.00021517360076721658,,550.4977724552155,COMPLETE
18,18,0.3857837700244411,2025-02-05 00:38:31.571012,2025-02-05 00:44:03.836775,0 days 00:05:32.265763,,0.00021211541567982064,,331.75219559669495,COMPLETE
19,19,0.3841645399930112,2025-02-05 00:44:03.836982,2025-02-05 00:49:53.942936,0 days 00:05:50.105954,,0.00010190511474112302,,349.59290838241577,COMPLETE
20,20,0.38478212037401777,2025-02-05 00:49:53.943154,2025-02-05 00:56:32.989315,0 days 00:06:39.046161,,0.00011895674766409878,,398.531706571579,COMPLETE
21,21,0.3859725394589127,2025-02-05 00:56:32.989531,2025-02-05 01:08:12.433246,0 days 00:11:39.443715,,0.00010218916835471382,,698.9614675045013,COMPLETE
22,22,0.38581479531279467,2025-02-05 01:08:12.433463,2025-02-05 01:15:42.089651,0 days 00:07:29.656188,,0.00014887297160291497,,449.1742699146271,COMPLETE
23,23,0.3908953760854858,2025-02-05 01:15:42.089868,2025-02-05 01:21:10.513170,0 days 00:05:28.423302,256.0,0.00028104450756528097,,327.81603169441223,COMPLETE
24,24,0.3844904094676333,2025-02-05 01:21:10.513375,2025-02-05 01:27:30.159556,0 days 00:06:19.646181,,0.0001007302660130755,,379.1313691139221,COMPLETE
25,25,0.38500538743293494,2025-02-05 01:27:30.159771,2025-02-05 01:36:49.920959,0 days 00:09:19.761188,,0.00010111600329644318,,559.2792763710022,COMPLETE
26,26,0.39311624455861277,2025-02-05 01:36:49.921176,2025-02-05 01:43:34.281667,0 days 00:06:44.360491,1024.0,0.00020785970349328312,,403.78839683532715,COMPLETE
27,27,0.39644848758391654,2025-02-05 01:43:34.281880,2025-02-05 01:56:37.076763,0 days 00:13:02.794883,,0.0004389489681365441,,782.3132047653198,COMPLETE
28,28,0.38947639036070725,2025-02-05 01:56:37.076973,2025-02-05 02:05:34.168500,0 days 00:08:57.091527,128.0,0.0005880219404282744,,536.5203578472137,COMPLETE
29,29,0.39121346137893126,2025-02-05 02:05:34.168708,2025-02-05 02:10:51.529486,0 days 00:05:17.360778,,0.00017063499033153351,,316.8801772594452,COMPLETE
30,30,0.38451804362698166,2025-02-05 02:10:51.529693,2025-02-05 02:19:26.232456,0 days 00:08:34.702763,,0.00010400477694365788,,514.2220916748047,COMPLETE
31,31,0.38466470554444543,2025-02-05 02:19:26.232671,2025-02-05 02:28:17.749112,0 days 00:08:51.516441,,0.0001040380538267982,,531.0342280864716,COMPLETE
32,32,0.3874467217959148,2025-02-05 02:28:17.749315,2025-02-05 02:37:25.134063,0 days 00:09:07.384748,,0.00010769449436951831,,546.9049069881439,COMPLETE
33,33,0.3849496476043632,2025-02-05 02:37:25.134271,2025-02-05 02:47:55.593243,0 days 00:10:30.458972,256.0,0.00016419154333948799,,629.8889367580414,COMPLETE
34,34,0.3938128414138075,2025-02-05 02:47:55.593453,2025-02-05 03:00:18.729515,0 days 00:12:23.136062,1024.0,0.00010795426738901162,,742.5640547275543,COMPLETE
35,35,0.4155503852160125,2025-02-05 03:00:18.729725,2025-02-05 03:06:57.115653,0 days 00:06:38.385928,1024.0,0.0009051692164873869,,397.8152701854706,COMPLETE
36,36,0.3857521326608419,2025-02-05 03:06:57.115866,2025-02-05 03:12:02.455011,0 days 00:05:05.339145,512.0,0.00010808767851158242,,304.7622985839844,COMPLETE
37,37,0.38811939347762997,2025-02-05 03:12:02.455228,2025-02-05 03:20:41.162634,0 days 00:08:38.707406,64.0,0.00013603677477165774,,518.1390159130096,COMPLETE
38,38,0.38369566488176093,2025-02-05 03:20:41.162849,2025-02-05 03:29:15.777617,0 days 00:08:34.614768,,0.00010623878165396026,,514.1332190036774,COMPLETE
39,39,0.38435391223515764,2025-02-05 03:29:15.777823,2025-02-05 03:36:46.821698,0 days 00:07:31.043875,,0.00014164736936652153,,450.56272554397583,COMPLETE
40,40,0.38706223773381027,2025-02-05 03:36:46.821909,2025-02-05 03:43:11.203946,0 days 00:06:24.382037,,0.00019178117916550028,,383.9000496864319,COMPLETE
41,41,0.3887307529117239,2025-02-05 03:43:11.204167,2025-02-05 03:49:00.884776,0 days 00:05:49.680609,,0.00014746752190922553,,349.19927954673767,COMPLETE
42,42,0.3867787537124392,2025-02-05 03:49:00.884987,2025-02-05 03:59:09.079670,0 days 00:10:08.194683,512.0,0.00037908571478210854,,607.6222450733185,COMPLETE
43,43,0.3834831055150761,2025-02-05 03:59:09.079879,2025-02-05 04:08:22.194122,0 days 00:09:13.114243,64.0,0.00010180873567122188,,552.5438089370728,COMPLETE
44,44,0.38413940943904307,2025-02-05 04:08:22.194337,2025-02-05 04:19:12.060941,0 days 00:10:49.866604,64.0,0.00010100740221355774,,649.2980101108551,COMPLETE
45,45,0.38615000097919033,2025-02-05 04:19:12.061163,2025-02-05 04:26:53.198519,0 days 00:07:41.137356,64.0,0.00010405386475745053,,460.53410506248474,COMPLETE
46,46,0.3858823282120514,2025-02-05 04:26:53.198731,2025-02-05 04:39:47.703130,0 days 00:12:54.504399,64.0,0.00010521585627638999,,773.902027130127,COMPLETE
47,47,0.39847263535958843,2025-02-05 04:39:47.703347,2025-02-05 04:45:32.355017,0 days 00:05:44.651670,,0.0009147140206690273,,344.13690662384033,COMPLETE
48,48,0.3830002196182088,2025-02-05 04:45:32.355250,2025-02-05 05:06:13.169494,0 days 00:20:40.814244,64.0,0.0001579254075831418,,1240.1203091144562,COMPLETE
49,49,0.38848375506852295,2025-02-05 05:06:13.169710,2025-02-05 05:18:05.804689,0 days 00:11:52.634979,64.0,0.00015782811098841837,,712.0648715496063,COMPLETE
50,50,0.3860031140132218,2025-02-05 05:18:05.804904,2025-02-05 05:23:51.326218,0 days 00:05:45.521314,64.0,0.00016653480720813405,,344.95023131370544,COMPLETE
51,51,0.38549417395069074,2025-02-05 05:23:51.326447,2025-02-05 05:28:40.160782,0 days 00:04:48.834335,64.0,0.00011108304777245555,,288.2313678264618,COMPLETE
52,52,0.38562619210037025,2025-02-05 05:28:40.161007,2025-02-05 05:36:21.781794,0 days 00:07:41.620787,64.0,0.00010995842026821275,,461.0507376194,COMPLETE
