,number,value,datetime_start,datetime_complete,duration,params_d_ff,params_d_model,params_dropout,params_e_layers,params_learning_rate,params_num_kernels,params_top_k,user_attrs_pruned,user_attrs_training_time,state
0,0,0.44849367783280325,2025-01-31 10:45:02.834259,2025-01-31 12:36:09.966606,0 days 01:51:07.132347,128,48,0.2,4,0.00033618948250294377,3,5,,6649.991312265396,COMPLETE
1,1,0.3668553389085985,2025-01-31 10:45:02.840276,2025-01-31 11:33:22.842556,0 days 00:48:20.002280,160,48,0.1,1,0.00031390941096853754,4,4,,2884.8119683265686,COMPLETE
2,2,0.3926439208346473,2025-01-31 11:33:22.844642,2025-01-31 12:39:52.209355,0 days 01:06:29.364713,16,32,0.0,3,0.0004828451803370777,4,2,,3988.8711659908295,COMPLETE
3,3,0.3133984197077703,2025-01-31 12:36:09.968009,2025-01-31 12:58:03.785792,0 days 00:21:53.817783,96,64,0.2,1,0.0045452101633381104,1,5,,1313.519498348236,COMPLETE
4,4,0.36113133781272033,2025-01-31 12:39:52.211030,2025-01-31 13:35:53.918031,0 days 00:56:01.707001,64,16,0.0,4,0.003935559626099667,5,1,,3358.815788269043,COMPLETE
5,5,0.31958540518754,2025-01-31 12:58:03.787027,2025-01-31 14:18:31.351681,0 days 01:20:27.564654,192,32,0.3,3,0.004714774042397923,1,4,,4827.069993019104,COMPLETE
6,6,0.3678804205812202,2025-01-31 13:35:53.919599,2025-01-31 14:33:47.002419,0 days 00:57:53.082820,160,96,0.3,2,0.0002051359723076786,2,4,,3471.615879535675,COMPLETE
7,7,,2025-01-31 14:18:31.353251,2025-02-01 01:31:14.685905,0 days 11:12:43.332654,256,96,0.3,4,0.0032179981517338006,4,4,"Exception: OutOfMemoryError('CUDA out of memory. Tried to allocate 3.20 GiB. GPU 1 has a total capacity of 39.39 GiB of which 1.47 GiB is free. Process 3372079 has 37.92 GiB memory in use. Of the allocated memory 28.25 GiB is allocated by PyTorch, and 9.16 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",,PRUNED
8,8,0.4060395802034509,2025-01-31 14:33:47.004275,2025-01-31 15:07:18.350368,0 days 00:33:31.346093,144,64,0.0,2,0.00016967116827758196,4,1,,2010.632740497589,COMPLETE
9,9,0.32783483851503376,2025-01-31 15:07:18.351933,2025-01-31 15:45:10.618508,0 days 00:37:52.266575,32,80,0.3,1,0.0025800568355656053,2,5,,2271.7703902721405,COMPLETE
10,10,0.3073421395812411,2025-01-31 15:45:10.619856,2025-01-31 17:07:56.871771,0 days 01:22:46.251915,64,16,0.1,2,0.003965284300549484,1,5,,4965.930314064026,COMPLETE
11,11,0.3859562363681839,2025-01-31 17:07:56.873407,2025-01-31 17:58:10.556937,0 days 00:50:13.683530,80,64,0.0,3,0.0018046195543479173,2,5,,3012.486926794052,COMPLETE
12,12,0.3056215508791564,2025-01-31 17:58:10.559550,2025-01-31 18:57:59.930964,0 days 00:59:49.371414,32,16,0.2,2,0.0021081120315431046,1,4,,3589.1226601600647,COMPLETE
13,13,0.31193913734795653,2025-01-31 18:57:59.934723,2025-01-31 19:47:36.093945,0 days 00:49:36.159222,64,16,0.0,1,0.008193620365671249,1,5,,2975.9261486530304,COMPLETE
14,14,0.2992608751593927,2025-01-31 19:47:36.096576,2025-01-31 22:04:29.584496,0 days 02:16:53.487920,16,48,0.2,2,0.0021718982876747627,1,2,,8213.215291023254,COMPLETE
