set,mse,rmse,mae,mape,r2
train,0.3012379039205666,0.5488514406654742,0.323107843413492,382.74913817765884,0.6989513522741898
validation,0.3853647674278551,0.6207775506796739,0.396462303974696,416.44491943400317,0.6869616905312691
test,0.3324375183174772,0.576573948698237,0.37353035440719545,331.49197706513695,0.5891694174044536
